==========
Args:Namespace(adam_beta1=0.9, adam_beta2=0.999, arch='mobilenet_v3_small', color_aug=False, color_jitter=False, eval_freq=5, evaluate=False, gamma=0.1, gpu_devices='0', height=224, label_smooth=False, lambda_htri=1, lambda_xent=1, load_weights='', lr=6e-05, lr_scheduler='multi_step', margin=0.3, max_epoch=30, momentum=0.9, no_pretrained=True, num_instances=4, optim='sgd', print_freq=10, query_remove=True, random_erase=False, resume='/mnt/fast/nobackup/users/rs01960/AdvanceCV/VehicleReID/Logs/mobilenet_v3_small_30_sgd_0.00006', rmsprop_alpha=0.99, root='/mnt/fast/nobackup/users/rs01960/AdvanceCV', save_dir='/mnt/fast/nobackup/users/rs01960/AdvanceCV/VehicleReID/Logs/mobilenet_v3_small_30_sgd_0.00006', seed=1, sgd_dampening=0, sgd_nesterov=False, source_names=['veri'], split_id=0, start_epoch=0, start_eval=0, stepsize=[20, 40], target_names=['veri'], test_batch_size=100, test_size=800, train_batch_size=64, train_sampler='RandomSampler', use_avai_gpus=False, use_cpu=False, visualize_ranks=False, weight_decay=0.0005, width=224, workers=8)
==========
Value Of GPU :  True
Currently using GPU 0
Initializing image data manager
=> Initializing TRAIN (source) datasets
=> VeRi loaded
Image Dataset statistics:
  ----------------------------------------
  subset   | # ids | # images | # cameras
  ----------------------------------------
  train    |   576 |    37778 |        20
  query    |   200 |     1678 |        19
  gallery  |   200 |    11579 |        19
  ----------------------------------------
=> Initializing TEST (target) datasets
=> VeRi loaded
Image Dataset statistics:
  ----------------------------------------
  subset   | # ids | # images | # cameras
  ----------------------------------------
  train    |   576 |    37778 |        20
  query    |   200 |     1678 |        19
  gallery  |   200 |    11579 |        19
  ----------------------------------------


  **************** Summary ****************
  train names      : ['veri']
  # train datasets : 1
  # train ids      : 576
  # train images   : 37778
  # train cameras  : 20
  test names       : ['veri']
  *****************************************


Initializing model: mobilenet_v3_small
Model size: 0.927 M
=> Start training
Epoch: [1][10/590]	Time 0.069 (1.903)	Data 0.0002 (0.1222)	Xent 6.3343 (6.3710)	Htri 0.4147 (0.4960)	Acc 0.00 (0.00)	
Epoch: [1][20/590]	Time 0.070 (0.986)	Data 0.0002 (0.0612)	Xent 6.4051 (6.3709)	Htri 0.6891 (0.5013)	Acc 0.00 (0.08)	
Epoch: [1][30/590]	Time 0.068 (0.680)	Data 0.0002 (0.0409)	Xent 6.3895 (6.3695)	Htri 0.1451 (0.5136)	Acc 0.00 (0.10)	
Epoch: [1][40/590]	Time 0.071 (0.528)	Data 0.0003 (0.0307)	Xent 6.3926 (6.3664)	Htri 1.0868 (0.4991)	Acc 0.00 (0.08)	
Epoch: [1][50/590]	Time 0.070 (0.437)	Data 0.0002 (0.0246)	Xent 6.4103 (6.3675)	Htri 0.7359 (0.4816)	Acc 0.00 (0.06)	
Epoch: [1][60/590]	Time 0.069 (0.376)	Data 0.0002 (0.0205)	Xent 6.4065 (6.3677)	Htri 0.6248 (0.4598)	Acc 0.00 (0.08)	
Epoch: [1][70/590]	Time 0.067 (0.332)	Data 0.0001 (0.0176)	Xent 6.3381 (6.3677)	Htri 0.5287 (0.4642)	Acc 0.00 (0.09)	
Epoch: [1][80/590]	Time 0.077 (0.299)	Data 0.0003 (0.0155)	Xent 6.3747 (6.3669)	Htri 0.4445 (0.4687)	Acc 0.00 (0.08)	
Epoch: [1][90/590]	Time 0.069 (0.274)	Data 0.0002 (0.0138)	Xent 6.3710 (6.3665)	Htri 0.7211 (0.4744)	Acc 0.00 (0.07)	
Epoch: [1][100/590]	Time 0.071 (0.253)	Data 0.0001 (0.0124)	Xent 6.3356 (6.3655)	Htri 0.6025 (0.4718)	Acc 0.00 (0.08)	
Epoch: [1][110/590]	Time 0.067 (0.236)	Data 0.0001 (0.0113)	Xent 6.3663 (6.3654)	Htri 0.4735 (0.4845)	Acc 0.00 (0.07)	
Epoch: [1][120/590]	Time 0.070 (0.222)	Data 0.0002 (0.0104)	Xent 6.3700 (6.3656)	Htri 0.0000 (0.4688)	Acc 0.00 (0.07)	
Epoch: [1][130/590]	Time 0.067 (0.210)	Data 0.0002 (0.0096)	Xent 6.4123 (6.3647)	Htri 0.9448 (0.4527)	Acc 0.00 (0.06)	
Epoch: [1][140/590]	Time 0.068 (0.200)	Data 0.0002 (0.0089)	Xent 6.3438 (6.3647)	Htri 0.3305 (0.4406)	Acc 0.00 (0.06)	
Epoch: [1][150/590]	Time 0.077 (0.192)	Data 0.0002 (0.0084)	Xent 6.4010 (6.3650)	Htri 0.0000 (0.4338)	Acc 0.00 (0.05)	
Epoch: [1][160/590]	Time 0.069 (0.184)	Data 0.0003 (0.0078)	Xent 6.3564 (6.3644)	Htri 0.2861 (0.4305)	Acc 0.00 (0.06)	
Epoch: [1][170/590]	Time 0.073 (0.178)	Data 0.0003 (0.0074)	Xent 6.3733 (6.3645)	Htri 0.4266 (0.4199)	Acc 0.00 (0.06)	
Epoch: [1][180/590]	Time 0.074 (0.172)	Data 0.0002 (0.0070)	Xent 6.3905 (6.3644)	Htri 0.2287 (0.4089)	Acc 0.00 (0.08)	
Epoch: [1][190/590]	Time 0.075 (0.167)	Data 0.0001 (0.0066)	Xent 6.3861 (6.3644)	Htri 0.1131 (0.4052)	Acc 0.00 (0.09)	
Epoch: [1][200/590]	Time 0.067 (0.162)	Data 0.0002 (0.0063)	Xent 6.3172 (6.3641)	Htri 0.3019 (0.3954)	Acc 0.00 (0.09)	
Epoch: [1][210/590]	Time 0.068 (0.157)	Data 0.0001 (0.0060)	Xent 6.3938 (6.3641)	Htri 0.1054 (0.3930)	Acc 0.00 (0.09)	
Epoch: [1][220/590]	Time 0.071 (0.153)	Data 0.0002 (0.0058)	Xent 6.3445 (6.3639)	Htri 0.1941 (0.3877)	Acc 0.00 (0.09)	
Epoch: [1][230/590]	Time 0.068 (0.150)	Data 0.0001 (0.0055)	Xent 6.3619 (6.3635)	Htri 0.2103 (0.3848)	Acc 0.00 (0.08)	
Epoch: [1][240/590]	Time 0.069 (0.146)	Data 0.0002 (0.0053)	Xent 6.3920 (6.3637)	Htri 0.5538 (0.3786)	Acc 0.00 (0.08)	
Epoch: [1][250/590]	Time 0.070 (0.143)	Data 0.0002 (0.0051)	Xent 6.3658 (6.3636)	Htri 0.7349 (0.3816)	Acc 0.00 (0.09)	
Epoch: [1][260/590]	Time 0.067 (0.140)	Data 0.0004 (0.0049)	Xent 6.3290 (6.3634)	Htri 0.7243 (0.3796)	Acc 0.00 (0.08)	
