==========
Args:Namespace(adam_beta1=0.9, adam_beta2=0.999, arch='mobilenet_v3_small', color_aug=False, color_jitter=False, eval_freq=20, evaluate=False, gamma=0.1, gpu_devices='0', height=224, label_smooth=False, lambda_htri=1, lambda_xent=1, load_weights='', lr=0.0003, lr_scheduler='multi_step', margin=0.3, max_epoch=60, momentum=0.9, no_pretrained=True, num_instances=4, optim='adam', print_freq=10, query_remove=True, random_erase=False, resume='/mnt/fast/nobackup/users/rs01960/AdvanceCV/VehicleReID/Logs/mobilenet_v3_small_60_adam_0.0003', rmsprop_alpha=0.99, root='/mnt/fast/nobackup/users/rs01960/AdvanceCV', save_dir='/mnt/fast/nobackup/users/rs01960/AdvanceCV/VehicleReID/Logs/mobilenet_v3_small_60_adam_0.0003', seed=1, sgd_dampening=0, sgd_nesterov=False, source_names=['veri'], split_id=0, start_epoch=0, start_eval=0, stepsize=[20, 40], target_names=['veri'], test_batch_size=100, test_size=800, train_batch_size=64, train_sampler='RandomSampler', use_avai_gpus=False, use_cpu=False, visualize_ranks=False, weight_decay=0.0005, width=224, workers=8)
==========
Value Of GPU :  True
Currently using GPU 0
Initializing image data manager
=> Initializing TRAIN (source) datasets
=> VeRi loaded
Image Dataset statistics:
  ----------------------------------------
  subset   | # ids | # images | # cameras
  ----------------------------------------
  train    |   576 |    37778 |        20
  query    |   200 |     1678 |        19
  gallery  |   200 |    11579 |        19
  ----------------------------------------
=> Initializing TEST (target) datasets
=> VeRi loaded
Image Dataset statistics:
  ----------------------------------------
  subset   | # ids | # images | # cameras
  ----------------------------------------
  train    |   576 |    37778 |        20
  query    |   200 |     1678 |        19
  gallery  |   200 |    11579 |        19
  ----------------------------------------


  **************** Summary ****************
  train names      : ['veri']
  # train datasets : 1
  # train ids      : 576
  # train images   : 37778
  # train cameras  : 20
  test names       : ['veri']
  *****************************************


Initializing model: mobilenet_v3_small
Model size: 0.927 M
=> Start training
Epoch: [1][10/590]	Time 0.171 (2.638)	Data 0.0007 (0.1796)	Xent 6.2892 (6.3495)	Htri 0.3509 (0.4429)	Acc 1.56 (0.47)	
Epoch: [1][20/590]	Time 0.124 (1.384)	Data 0.0012 (0.0901)	Xent 6.3456 (6.3401)	Htri 0.3911 (0.4005)	Acc 0.00 (0.31)	
Epoch: [1][30/590]	Time 0.183 (0.968)	Data 0.0004 (0.0603)	Xent 6.2425 (6.3309)	Htri 0.1826 (0.3865)	Acc 0.00 (0.42)	
Epoch: [1][40/590]	Time 0.123 (0.759)	Data 0.0004 (0.0453)	Xent 6.2645 (6.3174)	Htri 0.4922 (0.3570)	Acc 0.00 (0.51)	
Epoch: [1][50/590]	Time 0.118 (0.631)	Data 0.0004 (0.0364)	Xent 6.2635 (6.3051)	Htri 0.3597 (0.3222)	Acc 0.00 (0.47)	
Epoch: [1][60/590]	Time 0.105 (0.545)	Data 0.0004 (0.0304)	Xent 6.2284 (6.2962)	Htri 0.2932 (0.2954)	Acc 0.00 (0.39)	
Epoch: [1][70/590]	Time 0.198 (0.488)	Data 0.0037 (0.0262)	Xent 6.1853 (6.2886)	Htri 0.2829 (0.2824)	Acc 0.00 (0.42)	
Epoch: [1][80/590]	Time 0.148 (0.445)	Data 0.0005 (0.0230)	Xent 6.1526 (6.2805)	Htri 0.1490 (0.2687)	Acc 1.56 (0.49)	
Epoch: [1][90/590]	Time 0.119 (0.409)	Data 0.0004 (0.0206)	Xent 6.2618 (6.2740)	Htri 0.2581 (0.2617)	Acc 1.56 (0.52)	
Epoch: [1][100/590]	Time 0.294 (0.386)	Data 0.0005 (0.0186)	Xent 6.1496 (6.2671)	Htri 0.2440 (0.2543)	Acc 0.00 (0.53)	
Epoch: [1][110/590]	Time 0.149 (0.364)	Data 0.0014 (0.0170)	Xent 6.1950 (6.2611)	Htri 0.2256 (0.2446)	Acc 3.12 (0.55)	
Epoch: [1][120/590]	Time 0.109 (0.344)	Data 0.0005 (0.0156)	Xent 6.1659 (6.2571)	Htri 0.0000 (0.2340)	Acc 1.56 (0.55)	
Epoch: [1][130/590]	Time 0.104 (0.326)	Data 0.0002 (0.0144)	Xent 6.1823 (6.2499)	Htri 0.2005 (0.2250)	Acc 1.56 (0.62)	
