==========
Args:Namespace(adam_beta1=0.9, adam_beta2=0.999, arch='mobilenet_v3_small', color_aug=False, color_jitter=False, eval_freq=5, evaluate=False, gamma=0.1, gpu_devices='0', height=224, label_smooth=False, lambda_htri=1, lambda_xent=1, load_weights='', lr=0.0003, lr_scheduler='multi_step', margin=0.3, max_epoch=60, momentum=0.9, no_pretrained=True, num_instances=4, optim='amsgrad', print_freq=10, query_remove=True, random_erase=False, resume='/mnt/fast/nobackup/users/rs01960/AdvanceCV/VehicleReID/Logs/mobilenet_v3_small_60_amsgrad_0.0003', rmsprop_alpha=0.99, root='/mnt/fast/nobackup/users/rs01960/AdvanceCV', save_dir='/mnt/fast/nobackup/users/rs01960/AdvanceCV/VehicleReID/Logs/mobilenet_v3_small_60_amsgrad_0.0003', seed=1, sgd_dampening=0, sgd_nesterov=False, source_names=['veri'], split_id=0, start_epoch=0, start_eval=0, stepsize=[20, 40], target_names=['veri'], test_batch_size=100, test_size=800, train_batch_size=64, train_sampler='RandomSampler', use_avai_gpus=False, use_cpu=False, visualize_ranks=False, weight_decay=0.0005, width=224, workers=8)
==========
Value Of GPU :  True
Currently using GPU 0
Initializing image data manager
=> Initializing TRAIN (source) datasets
=> VeRi loaded
Image Dataset statistics:
  ----------------------------------------
  subset   | # ids | # images | # cameras
  ----------------------------------------
  train    |   576 |    37778 |        20
  query    |   200 |     1678 |        19
  gallery  |   200 |    11579 |        19
  ----------------------------------------
=> Initializing TEST (target) datasets
=> VeRi loaded
Image Dataset statistics:
  ----------------------------------------
  subset   | # ids | # images | # cameras
  ----------------------------------------
  train    |   576 |    37778 |        20
  query    |   200 |     1678 |        19
  gallery  |   200 |    11579 |        19
  ----------------------------------------


  **************** Summary ****************
  train names      : ['veri']
  # train datasets : 1
  # train ids      : 576
  # train images   : 37778
  # train cameras  : 20
  test names       : ['veri']
  *****************************************


Initializing model: mobilenet_v3_small
Model size: 0.927 M
=> Start training
Epoch: [1][10/590]	Time 0.085 (1.072)	Data 0.0003 (0.0777)	Xent 6.2892 (6.3495)	Htri 0.3509 (0.4429)	Acc 1.56 (0.47)	
Epoch: [1][20/590]	Time 0.084 (0.579)	Data 0.0001 (0.0390)	Xent 6.3452 (6.3401)	Htri 0.3880 (0.4004)	Acc 0.00 (0.31)	
Epoch: [1][30/590]	Time 0.083 (0.414)	Data 0.0002 (0.0261)	Xent 6.2418 (6.3309)	Htri 0.1807 (0.3867)	Acc 0.00 (0.42)	
Epoch: [1][40/590]	Time 0.078 (0.331)	Data 0.0001 (0.0196)	Xent 6.2632 (6.3174)	Htri 0.4823 (0.3569)	Acc 0.00 (0.51)	
Epoch: [1][50/590]	Time 0.085 (0.282)	Data 0.0003 (0.0157)	Xent 6.2621 (6.3053)	Htri 0.3455 (0.3216)	Acc 0.00 (0.47)	
Epoch: [1][60/590]	Time 0.076 (0.248)	Data 0.0004 (0.0132)	Xent 6.2300 (6.2963)	Htri 0.2985 (0.2951)	Acc 0.00 (0.42)	
Epoch: [1][70/590]	Time 0.082 (0.224)	Data 0.0015 (0.0113)	Xent 6.1786 (6.2886)	Htri 0.3060 (0.2823)	Acc 1.56 (0.45)	
Epoch: [1][80/590]	Time 0.081 (0.206)	Data 0.0001 (0.0099)	Xent 6.1530 (6.2806)	Htri 0.1427 (0.2689)	Acc 0.00 (0.51)	
Epoch: [1][90/590]	Time 0.080 (0.192)	Data 0.0002 (0.0089)	Xent 6.2565 (6.2738)	Htri 0.2378 (0.2607)	Acc 0.00 (0.59)	
Epoch: [1][100/590]	Time 0.076 (0.181)	Data 0.0003 (0.0080)	Xent 6.1502 (6.2671)	Htri 0.2234 (0.2529)	Acc 1.56 (0.62)	
Epoch: [1][110/590]	Time 0.078 (0.171)	Data 0.0003 (0.0073)	Xent 6.2029 (6.2616)	Htri 0.1948 (0.2433)	Acc 3.12 (0.65)	
Epoch: [1][120/590]	Time 0.076 (0.163)	Data 0.0002 (0.0067)	Xent 6.1668 (6.2578)	Htri 0.0000 (0.2321)	Acc 1.56 (0.66)	
Epoch: [1][130/590]	Time 0.079 (0.157)	Data 0.0002 (0.0062)	Xent 6.1839 (6.2509)	Htri 0.2212 (0.2231)	Acc 0.00 (0.69)	
