==========
Args:Namespace(adam_beta1=0.9, adam_beta2=0.999, arch='resnet34', color_aug=False, color_jitter=False, eval_freq=20, evaluate=False, gamma=0.1, gpu_devices='0', height=224, label_smooth=False, lambda_htri=1, lambda_xent=1, load_weights='', lr=0.0003, lr_scheduler='multi_step', margin=0.3, max_epoch=60, momentum=0.9, no_pretrained=True, num_instances=4, optim='adam', print_freq=10, query_remove=True, random_erase=False, resume='/mnt/fast/nobackup/users/rs01960/AdvanceCV/VehicleReID/Logs/resnet34_60_adam_0.0003', rmsprop_alpha=0.99, root='/mnt/fast/nobackup/users/rs01960/AdvanceCV', save_dir='/mnt/fast/nobackup/users/rs01960/AdvanceCV/VehicleReID/Logs/resnet34_60_adam_0.0003', seed=1, sgd_dampening=0, sgd_nesterov=False, source_names=['veri'], split_id=0, start_epoch=0, start_eval=0, stepsize=[20, 40], target_names=['veri'], test_batch_size=100, test_size=800, train_batch_size=64, train_sampler='RandomSampler', use_avai_gpus=False, use_cpu=False, visualize_ranks=False, weight_decay=0.0005, width=224, workers=8)
==========
Value Of GPU :  True
Currently using GPU 0
Initializing image data manager
=> Initializing TRAIN (source) datasets
=> VeRi loaded
Image Dataset statistics:
  ----------------------------------------
  subset   | # ids | # images | # cameras
  ----------------------------------------
  train    |   576 |    37778 |        20
  query    |   200 |     1678 |        19
  gallery  |   200 |    11579 |        19
  ----------------------------------------
=> Initializing TEST (target) datasets
=> VeRi loaded
Image Dataset statistics:
  ----------------------------------------
  subset   | # ids | # images | # cameras
  ----------------------------------------
  train    |   576 |    37778 |        20
  query    |   200 |     1678 |        19
  gallery  |   200 |    11579 |        19
  ----------------------------------------


  **************** Summary ****************
  train names      : ['veri']
  # train datasets : 1
  # train ids      : 576
  # train images   : 37778
  # train cameras  : 20
  test names       : ['veri']
  *****************************************


Initializing model: resnet34
Model size: 21.285 M
=> Start training
Epoch: [1][10/590]	Time 0.176 (2.086)	Data 0.0009 (0.1374)	Xent 6.5388 (6.4446)	Htri 0.2186 (0.1555)	Acc 0.00 (0.00)	
Epoch: [1][20/590]	Time 0.173 (1.129)	Data 0.0010 (0.0690)	Xent 6.3691 (6.4345)	Htri 0.0971 (0.1405)	Acc 0.00 (0.31)	
Epoch: [1][30/590]	Time 0.155 (0.811)	Data 0.0004 (0.0461)	Xent 6.5368 (6.4303)	Htri 0.0413 (0.1509)	Acc 0.00 (0.42)	
Epoch: [1][40/590]	Time 0.171 (0.654)	Data 0.0004 (0.0348)	Xent 6.3513 (6.4450)	Htri 0.1849 (0.1391)	Acc 0.00 (0.51)	
Epoch: [1][50/590]	Time 0.180 (0.558)	Data 0.0004 (0.0280)	Xent 6.3490 (6.4287)	Htri 0.0786 (0.1330)	Acc 3.12 (0.56)	
Epoch: [1][60/590]	Time 0.187 (0.496)	Data 0.0016 (0.0234)	Xent 6.3434 (6.4220)	Htri 0.0811 (0.1295)	Acc 0.00 (0.62)	
Epoch: [1][70/590]	Time 0.174 (0.450)	Data 0.0005 (0.0201)	Xent 6.3385 (6.4031)	Htri 0.1298 (0.1236)	Acc 0.00 (0.69)	
Epoch: [1][80/590]	Time 0.172 (0.416)	Data 0.0003 (0.0177)	Xent 6.2995 (6.3937)	Htri 0.1082 (0.1185)	Acc 0.00 (0.70)	
Epoch: [1][90/590]	Time 0.209 (0.389)	Data 0.0003 (0.0158)	Xent 6.2162 (6.3813)	Htri 0.0824 (0.1156)	Acc 1.56 (0.73)	
Epoch: [1][100/590]	Time 0.213 (0.369)	Data 0.0006 (0.0143)	Xent 6.1852 (6.3689)	Htri 0.0743 (0.1153)	Acc 0.00 (0.72)	
Epoch: [1][110/590]	Time 0.206 (0.351)	Data 0.0033 (0.0131)	Xent 6.1969 (6.3581)	Htri 0.1381 (0.1118)	Acc 0.00 (0.67)	
Epoch: [1][120/590]	Time 0.182 (0.337)	Data 0.0004 (0.0121)	Xent 6.1693 (6.3520)	Htri 0.0517 (0.1093)	Acc 1.56 (0.64)	
Epoch: [1][130/590]	Time 0.205 (0.324)	Data 0.0003 (0.0112)	Xent 6.2063 (6.3391)	Htri 0.0433 (0.1061)	Acc 0.00 (0.65)	
Epoch: [1][140/590]	Time 0.161 (0.314)	Data 0.0006 (0.0104)	Xent 6.3325 (6.3305)	Htri 0.1896 (0.1055)	Acc 0.00 (0.69)	
Epoch: [1][150/590]	Time 0.156 (0.306)	Data 0.0008 (0.0098)	Xent 6.1102 (6.3204)	Htri 0.0599 (0.1047)	Acc 1.56 (0.78)	
Epoch: [1][160/590]	Time 0.168 (0.298)	Data 0.0005 (0.0092)	Xent 6.2930 (6.3148)	Htri 0.1113 (0.1050)	Acc 0.00 (0.80)	
Epoch: [1][170/590]	Time 0.177 (0.291)	Data 0.0012 (0.0087)	Xent 6.3056 (6.3094)	Htri 0.0240 (0.1030)	Acc 0.00 (0.80)	
Epoch: [1][180/590]	Time 0.207 (0.285)	Data 0.0003 (0.0083)	Xent 6.2652 (6.3038)	Htri 0.0878 (0.1039)	Acc 3.12 (0.89)	
Epoch: [1][190/590]	Time 0.150 (0.279)	Data 0.0003 (0.0078)	Xent 6.2663 (6.2977)	Htri 0.0964 (0.1051)	Acc 0.00 (0.91)	
Epoch: [1][200/590]	Time 0.157 (0.273)	Data 0.0005 (0.0075)	Xent 6.1497 (6.2937)	Htri 0.0180 (0.1042)	Acc 1.56 (0.91)	
Epoch: [1][210/590]	Time 0.173 (0.268)	Data 0.0003 (0.0071)	Xent 6.3570 (6.2902)	Htri 0.0338 (0.1041)	Acc 1.56 (0.91)	
Epoch: [1][220/590]	Time 0.182 (0.265)	Data 0.0004 (0.0068)	Xent 6.3547 (6.2878)	Htri 0.0774 (0.1037)	Acc 0.00 (0.90)	
Epoch: [1][230/590]	Time 0.171 (0.260)	Data 0.0004 (0.0066)	Xent 6.1811 (6.2841)	Htri 0.0918 (0.1021)	Acc 1.56 (0.92)	
Epoch: [1][240/590]	Time 0.156 (0.257)	Data 0.0003 (0.0063)	Xent 6.0898 (6.2795)	Htri 0.1667 (0.1021)	Acc 0.00 (0.90)	
Epoch: [1][250/590]	Time 0.174 (0.254)	Data 0.0006 (0.0061)	Xent 6.2007 (6.2768)	Htri 0.0572 (0.1013)	Acc 0.00 (0.91)	
Epoch: [1][260/590]	Time 0.164 (0.251)	Data 0.0008 (0.0059)	Xent 6.0049 (6.2695)	Htri 0.0167 (0.1024)	Acc 3.12 (0.93)	
Epoch: [1][270/590]	Time 0.168 (0.248)	Data 0.0005 (0.0057)	Xent 6.0062 (6.2644)	Htri 0.0644 (0.1041)	Acc 3.12 (1.00)	
Epoch: [1][280/590]	Time 0.161 (0.246)	Data 0.0005 (0.0055)	Xent 6.0851 (6.2593)	Htri 0.1066 (0.1054)	Acc 1.56 (0.99)	
