==========
Args:Namespace(adam_beta1=0.9, adam_beta2=0.999, arch='resnet34', color_aug=False, color_jitter=False, eval_freq=5, evaluate=False, gamma=0.1, gpu_devices='0', height=224, label_smooth=False, lambda_htri=1, lambda_xent=1, load_weights='', lr=0.0003, lr_scheduler='multi_step', margin=0.3, max_epoch=60, momentum=0.9, no_pretrained=True, num_instances=4, optim='amsgrad', print_freq=10, query_remove=True, random_erase=False, resume='/mnt/fast/nobackup/users/rs01960/AdvanceCV/VehicleReID/Logs/resnet34_60_amsgrad_0.0003', rmsprop_alpha=0.99, root='/mnt/fast/nobackup/users/rs01960/AdvanceCV', save_dir='/mnt/fast/nobackup/users/rs01960/AdvanceCV/VehicleReID/Logs/resnet34_60_amsgrad_0.0003', seed=1, sgd_dampening=0, sgd_nesterov=False, source_names=['veri'], split_id=0, start_epoch=0, start_eval=0, stepsize=[20, 40], target_names=['veri'], test_batch_size=100, test_size=800, train_batch_size=64, train_sampler='RandomSampler', use_avai_gpus=False, use_cpu=False, visualize_ranks=False, weight_decay=0.0005, width=224, workers=8)
==========
Value Of GPU :  True
Currently using GPU 0
Initializing image data manager
=> Initializing TRAIN (source) datasets
=> VeRi loaded
Image Dataset statistics:
  ----------------------------------------
  subset   | # ids | # images | # cameras
  ----------------------------------------
  train    |   576 |    37778 |        20
  query    |   200 |     1678 |        19
  gallery  |   200 |    11579 |        19
  ----------------------------------------
=> Initializing TEST (target) datasets
=> VeRi loaded
Image Dataset statistics:
  ----------------------------------------
  subset   | # ids | # images | # cameras
  ----------------------------------------
  train    |   576 |    37778 |        20
  query    |   200 |     1678 |        19
  gallery  |   200 |    11579 |        19
  ----------------------------------------


  **************** Summary ****************
  train names      : ['veri']
  # train datasets : 1
  # train ids      : 576
  # train images   : 37778
  # train cameras  : 20
  test names       : ['veri']
  *****************************************


Initializing model: resnet34
Model size: 21.285 M
=> Start training
Epoch: [1][10/590]	Time 0.162 (0.971)	Data 0.0002 (0.0861)	Xent 6.5358 (6.4417)	Htri 0.2159 (0.1580)	Acc 0.00 (0.00)	
Epoch: [1][20/590]	Time 0.161 (0.567)	Data 0.0004 (0.0432)	Xent 6.3612 (6.4302)	Htri 0.1180 (0.1482)	Acc 1.56 (0.31)	
Epoch: [1][30/590]	Time 0.162 (0.432)	Data 0.0002 (0.0289)	Xent 6.5265 (6.4259)	Htri 0.0582 (0.1597)	Acc 0.00 (0.47)	
Epoch: [1][40/590]	Time 0.161 (0.364)	Data 0.0003 (0.0218)	Xent 6.3573 (6.4424)	Htri 0.2329 (0.1467)	Acc 0.00 (0.51)	
Epoch: [1][50/590]	Time 0.163 (0.324)	Data 0.0002 (0.0175)	Xent 6.3482 (6.4258)	Htri 0.0676 (0.1440)	Acc 3.12 (0.56)	
Epoch: [1][60/590]	Time 0.160 (0.297)	Data 0.0003 (0.0147)	Xent 6.3454 (6.4199)	Htri 0.0771 (0.1408)	Acc 0.00 (0.55)	
Epoch: [1][70/590]	Time 0.158 (0.277)	Data 0.0002 (0.0126)	Xent 6.3334 (6.4007)	Htri 0.1211 (0.1343)	Acc 0.00 (0.62)	
Epoch: [1][80/590]	Time 0.160 (0.263)	Data 0.0004 (0.0111)	Xent 6.2989 (6.3910)	Htri 0.1025 (0.1277)	Acc 0.00 (0.64)	
Epoch: [1][90/590]	Time 0.162 (0.251)	Data 0.0002 (0.0099)	Xent 6.2402 (6.3804)	Htri 0.0834 (0.1225)	Acc 1.56 (0.64)	
Epoch: [1][100/590]	Time 0.163 (0.243)	Data 0.0003 (0.0089)	Xent 6.1816 (6.3687)	Htri 0.0763 (0.1182)	Acc 0.00 (0.64)	
Epoch: [1][110/590]	Time 0.162 (0.235)	Data 0.0003 (0.0081)	Xent 6.1950 (6.3574)	Htri 0.1045 (0.1135)	Acc 0.00 (0.62)	
Epoch: [1][120/590]	Time 0.161 (0.229)	Data 0.0016 (0.0075)	Xent 6.1515 (6.3504)	Htri 0.0496 (0.1111)	Acc 0.00 (0.62)	
