==========
Args:Namespace(adam_beta1=0.9, adam_beta2=0.999, arch='resnet50_fc512', color_aug=False, color_jitter=False, eval_freq=20, evaluate=False, gamma=0.1, gpu_devices='0', height=224, label_smooth=False, lambda_htri=1, lambda_xent=1, load_weights='', lr=0.0003, lr_scheduler='multi_step', margin=0.3, max_epoch=60, momentum=0.9, no_pretrained=True, num_instances=4, optim='adam', print_freq=10, query_remove=True, random_erase=False, resume='/mnt/fast/nobackup/users/rs01960/AdvanceCV/VehicleReID/Logs/resnet50_fc512_60_adam_0.0003', rmsprop_alpha=0.99, root='/mnt/fast/nobackup/users/rs01960/AdvanceCV', save_dir='/mnt/fast/nobackup/users/rs01960/AdvanceCV/VehicleReID/Logs/resnet50_fc512_60_adam_0.0003', seed=1, sgd_dampening=0, sgd_nesterov=False, source_names=['veri'], split_id=0, start_epoch=0, start_eval=0, stepsize=[20, 40], target_names=['veri'], test_batch_size=100, test_size=800, train_batch_size=64, train_sampler='RandomSampler', use_avai_gpus=False, use_cpu=False, visualize_ranks=False, weight_decay=0.0005, width=224, workers=8)
==========
Value Of GPU :  True
Currently using GPU 0
Initializing image data manager
=> Initializing TRAIN (source) datasets
=> VeRi loaded
Image Dataset statistics:
  ----------------------------------------
  subset   | # ids | # images | # cameras
  ----------------------------------------
  train    |   576 |    37778 |        20
  query    |   200 |     1678 |        19
  gallery  |   200 |    11579 |        19
  ----------------------------------------
=> Initializing TEST (target) datasets
=> VeRi loaded
Image Dataset statistics:
  ----------------------------------------
  subset   | # ids | # images | # cameras
  ----------------------------------------
  train    |   576 |    37778 |        20
  query    |   200 |     1678 |        19
  gallery  |   200 |    11579 |        19
  ----------------------------------------


  **************** Summary ****************
  train names      : ['veri']
  # train datasets : 1
  # train ids      : 576
  # train images   : 37778
  # train cameras  : 20
  test names       : ['veri']
  *****************************************


Initializing model: resnet50_fc512
Model size: 24.558 M
=> Start training
Epoch: [1][10/590]	Time 0.349 (2.470)	Data 0.0006 (0.2086)	Xent 6.3256 (6.3451)	Htri 0.0509 (1.0470)	Acc 0.00 (0.31)	
Epoch: [1][20/590]	Time 0.360 (1.417)	Data 0.0006 (0.1045)	Xent 6.1768 (6.3254)	Htri 2.8183 (0.9282)	Acc 0.00 (0.23)	
Epoch: [1][30/590]	Time 0.346 (1.064)	Data 0.0002 (0.0698)	Xent 6.2272 (6.3114)	Htri 0.4877 (0.8427)	Acc 3.12 (0.73)	
Epoch: [1][40/590]	Time 0.352 (0.887)	Data 0.0002 (0.0525)	Xent 6.3383 (6.3073)	Htri 1.9617 (0.8336)	Acc 3.12 (0.74)	
Epoch: [1][50/590]	Time 0.379 (0.783)	Data 0.0004 (0.0421)	Xent 6.3778 (6.3089)	Htri 0.1482 (0.7203)	Acc 1.56 (0.75)	
Epoch: [1][60/590]	Time 0.364 (0.715)	Data 0.0018 (0.0351)	Xent 6.2286 (6.2983)	Htri 0.2837 (0.6578)	Acc 0.00 (0.70)	
Epoch: [1][70/590]	Time 0.354 (0.665)	Data 0.0002 (0.0302)	Xent 6.3908 (6.2909)	Htri 0.6703 (0.6161)	Acc 0.00 (0.67)	
Epoch: [1][80/590]	Time 0.375 (0.627)	Data 0.0002 (0.0264)	Xent 6.2913 (6.2844)	Htri 1.9259 (0.6350)	Acc 1.56 (0.68)	
Epoch: [1][90/590]	Time 0.367 (0.598)	Data 0.0002 (0.0235)	Xent 5.9674 (6.2840)	Htri 0.8873 (0.6844)	Acc 4.69 (0.83)	
Epoch: [1][100/590]	Time 0.382 (0.576)	Data 0.0006 (0.0212)	Xent 6.1399 (6.2811)	Htri 0.4023 (0.6919)	Acc 1.56 (0.80)	
Epoch: [1][110/590]	Time 0.369 (0.557)	Data 0.0003 (0.0194)	Xent 6.0926 (6.2707)	Htri 1.3130 (0.7083)	Acc 3.12 (0.84)	
Epoch: [1][120/590]	Time 0.370 (0.541)	Data 0.0005 (0.0178)	Xent 6.1133 (6.2609)	Htri 0.1161 (0.7305)	Acc 0.00 (0.83)	
Epoch: [1][130/590]	Time 0.354 (0.528)	Data 0.0003 (0.0165)	Xent 6.0075 (6.2475)	Htri 1.7035 (0.7211)	Acc 3.12 (0.88)	
Epoch: [1][140/590]	Time 0.406 (0.516)	Data 0.0002 (0.0153)	Xent 6.0516 (6.2350)	Htri 3.4664 (0.7222)	Acc 0.00 (0.87)	
Epoch: [1][150/590]	Time 0.362 (0.506)	Data 0.0007 (0.0143)	Xent 5.9257 (6.2235)	Htri 2.9269 (0.7147)	Acc 0.00 (0.90)	
Epoch: [1][160/590]	Time 0.371 (0.498)	Data 0.0006 (0.0135)	Xent 5.8719 (6.2126)	Htri 0.4315 (0.7139)	Acc 1.56 (0.90)	
Epoch: [1][170/590]	Time 0.356 (0.490)	Data 0.0003 (0.0127)	Xent 6.0600 (6.2046)	Htri 0.0565 (0.7079)	Acc 0.00 (0.88)	
Epoch: [1][180/590]	Time 0.357 (0.483)	Data 0.0002 (0.0120)	Xent 5.8846 (6.1947)	Htri 1.6443 (0.7111)	Acc 1.56 (0.86)	
Epoch: [1][190/590]	Time 0.358 (0.477)	Data 0.0006 (0.0114)	Xent 6.0430 (6.1878)	Htri 0.0376 (0.7002)	Acc 1.56 (0.87)	
Epoch: [1][200/590]	Time 0.366 (0.471)	Data 0.0006 (0.0109)	Xent 6.0417 (6.1812)	Htri 0.2231 (0.7000)	Acc 0.00 (0.89)	
Epoch: [1][210/590]	Time 0.382 (0.466)	Data 0.0006 (0.0104)	Xent 5.9833 (6.1748)	Htri 0.0469 (0.6768)	Acc 0.00 (0.89)	
Epoch: [1][220/590]	Time 0.385 (0.462)	Data 0.0003 (0.0099)	Xent 6.0511 (6.1674)	Htri 0.7672 (0.6716)	Acc 1.56 (0.89)	
Epoch: [1][230/590]	Time 0.376 (0.458)	Data 0.0003 (0.0095)	Xent 5.9113 (6.1599)	Htri 1.2249 (0.6680)	Acc 0.00 (0.89)	
Epoch: [1][240/590]	Time 0.353 (0.454)	Data 0.0003 (0.0091)	Xent 6.1080 (6.1531)	Htri 1.5086 (0.6726)	Acc 1.56 (0.91)	
Epoch: [1][250/590]	Time 0.375 (0.451)	Data 0.0006 (0.0088)	Xent 5.8238 (6.1429)	Htri 1.1843 (0.6604)	Acc 6.25 (0.94)	
Epoch: [1][260/590]	Time 0.355 (0.448)	Data 0.0002 (0.0085)	Xent 5.9987 (6.1360)	Htri 1.6376 (0.6608)	Acc 1.56 (0.97)	
Epoch: [1][270/590]	Time 0.357 (0.445)	Data 0.0006 (0.0082)	Xent 6.0449 (6.1302)	Htri 1.1137 (0.6501)	Acc 0.00 (1.00)	
Epoch: [1][280/590]	Time 0.363 (0.442)	Data 0.0004 (0.0079)	Xent 6.0225 (6.1259)	Htri 0.3345 (0.6380)	Acc 3.12 (1.00)	
Epoch: [1][290/590]	Time 0.377 (0.439)	Data 0.0005 (0.0077)	Xent 5.9865 (6.1208)	Htri 0.1024 (0.6296)	Acc 0.00 (1.01)	
Epoch: [1][300/590]	Time 0.355 (0.437)	Data 0.0003 (0.0074)	Xent 5.8290 (6.1151)	Htri 0.1445 (0.6246)	Acc 1.56 (1.01)	
Epoch: [1][310/590]	Time 0.382 (0.434)	Data 0.0013 (0.0072)	Xent 5.9580 (6.1100)	Htri 0.1815 (0.6204)	Acc 1.56 (1.00)	
Epoch: [1][320/590]	Time 0.354 (0.432)	Data 0.0006 (0.0070)	Xent 5.7907 (6.1031)	Htri 0.6657 (0.6116)	Acc 1.56 (1.02)	
Epoch: [1][330/590]	Time 0.353 (0.430)	Data 0.0006 (0.0068)	Xent 5.8311 (6.0953)	Htri 0.4379 (0.6098)	Acc 1.56 (1.02)	
Epoch: [1][340/590]	Time 0.354 (0.428)	Data 0.0003 (0.0066)	Xent 5.8180 (6.0869)	Htri 0.5467 (0.6018)	Acc 1.56 (1.08)	
Epoch: [1][350/590]	Time 0.385 (0.426)	Data 0.0006 (0.0064)	Xent 5.7945 (6.0803)	Htri 0.3412 (0.5974)	Acc 0.00 (1.08)	
Epoch: [1][360/590]	Time 0.380 (0.425)	Data 0.0003 (0.0063)	Xent 5.8013 (6.0730)	Htri 0.6271 (0.5906)	Acc 1.56 (1.11)	
Epoch: [1][370/590]	Time 0.362 (0.423)	Data 0.0003 (0.0061)	Xent 5.8562 (6.0639)	Htri 1.2305 (0.5927)	Acc 0.00 (1.11)	
Epoch: [1][380/590]	Time 0.353 (0.422)	Data 0.0004 (0.0059)	Xent 5.7594 (6.0562)	Htri 0.4941 (0.5879)	Acc 1.56 (1.15)	
