==========
Args:Namespace(adam_beta1=0.9, adam_beta2=0.999, arch='resnet50_fc512', color_aug=True, color_jitter=True, eval_freq=20, evaluate=False, gamma=0.1, gpu_devices='0', height=224, label_smooth=False, lambda_htri=1, lambda_xent=1, load_weights='', lr=0.0003, lr_scheduler='multi_step', margin=0.3, max_epoch=60, momentum=0.9, no_pretrained=True, num_instances=4, optim='amsgrad', print_freq=10, query_remove=True, random_erase=False, resume='/mnt/fast/nobackup/users/rs01960/AdvanceCV/VehicleReID/Logs/resnet50_fc512_60_amsgrad_0.0003_color-jitter_color-aug_24', rmsprop_alpha=0.99, root='/mnt/fast/nobackup/users/rs01960/AdvanceCV', save_dir='/mnt/fast/nobackup/users/rs01960/AdvanceCV/VehicleReID/Logs/resnet50_fc512_60_amsgrad_0.0003_color-jitter_color-aug_24', seed=1, sgd_dampening=0, sgd_nesterov=False, source_names=['veri'], split_id=0, start_epoch=0, start_eval=0, stepsize=[20, 40], target_names=['veri'], test_batch_size=100, test_size=800, train_batch_size=24, train_sampler='RandomSampler', use_avai_gpus=False, use_cpu=False, visualize_ranks=False, weight_decay=0.0005, width=224, workers=8)
==========
Value Of GPU :  True
Currently using GPU 0
Initializing image data manager
=> Initializing TRAIN (source) datasets
=> VeRi loaded
Image Dataset statistics:
  ----------------------------------------
  subset   | # ids | # images | # cameras
  ----------------------------------------
  train    |   576 |    37778 |        20
  query    |   200 |     1678 |        19
  gallery  |   200 |    11579 |        19
  ----------------------------------------
=> Initializing TEST (target) datasets
=> VeRi loaded
Image Dataset statistics:
  ----------------------------------------
  subset   | # ids | # images | # cameras
  ----------------------------------------
  train    |   576 |    37778 |        20
  query    |   200 |     1678 |        19
  gallery  |   200 |    11579 |        19
  ----------------------------------------


  **************** Summary ****************
  train names      : ['veri']
  # train datasets : 1
  # train ids      : 576
  # train images   : 37778
  # train cameras  : 20
  test names       : ['veri']
  *****************************************


Initializing model: resnet50_fc512
Model size: 24.558 M
=> Start training
Epoch: [1][10/1574]	Time 0.187 (3.443)	Data 0.0008 (0.1777)	Xent 6.2951 (6.3560)	Htri 0.0000 (0.0615)	Acc 0.00 (0.42)	
Epoch: [1][20/1574]	Time 0.184 (1.803)	Data 0.0011 (0.0891)	Xent 6.2376 (6.3538)	Htri 0.0918 (0.1519)	Acc 4.17 (0.42)	
Epoch: [1][30/1574]	Time 0.159 (1.258)	Data 0.0004 (0.0595)	Xent 6.4240 (6.3702)	Htri 0.0053 (0.1365)	Acc 0.00 (0.28)	
Epoch: [1][40/1574]	Time 0.174 (0.985)	Data 0.0003 (0.0448)	Xent 6.3672 (6.4079)	Htri 2.1465 (0.1798)	Acc 0.00 (0.31)	
Epoch: [1][50/1574]	Time 0.154 (0.823)	Data 0.0006 (0.0360)	Xent 6.5418 (6.4190)	Htri 0.0015 (0.1748)	Acc 0.00 (0.33)	
Epoch: [1][60/1574]	Time 0.152 (0.711)	Data 0.0005 (0.0300)	Xent 6.4757 (6.4195)	Htri 0.0119 (0.1653)	Acc 0.00 (0.49)	
Epoch: [1][70/1574]	Time 0.180 (0.632)	Data 0.0007 (0.0258)	Xent 6.6388 (6.4270)	Htri 0.0019 (0.1809)	Acc 0.00 (0.48)	
Epoch: [1][80/1574]	Time 0.181 (0.574)	Data 0.0003 (0.0226)	Xent 6.5581 (6.4157)	Htri 0.0119 (0.1617)	Acc 4.17 (0.73)	
Epoch: [1][90/1574]	Time 0.168 (0.528)	Data 0.0002 (0.0202)	Xent 6.5932 (6.4264)	Htri 0.1600 (0.1486)	Acc 0.00 (0.74)	
Epoch: [1][100/1574]	Time 0.171 (0.492)	Data 0.0003 (0.0182)	Xent 6.2635 (6.4311)	Htri 0.0354 (0.1944)	Acc 0.00 (0.67)	
Epoch: [1][110/1574]	Time 0.179 (0.463)	Data 0.0003 (0.0166)	Xent 6.8024 (6.4306)	Htri 0.0000 (0.2310)	Acc 0.00 (0.64)	
Epoch: [1][120/1574]	Time 0.148 (0.438)	Data 0.0003 (0.0152)	Xent 6.4909 (6.4357)	Htri 0.0264 (0.2346)	Acc 0.00 (0.62)	
Epoch: [1][130/1574]	Time 0.164 (0.417)	Data 0.0003 (0.0141)	Xent 6.1385 (6.4343)	Htri 0.0000 (0.2608)	Acc 0.00 (0.58)	
Epoch: [1][140/1574]	Time 0.151 (0.399)	Data 0.0003 (0.0131)	Xent 6.5141 (6.4260)	Htri 0.1848 (0.2632)	Acc 0.00 (0.65)	
Epoch: [1][150/1574]	Time 0.155 (0.383)	Data 0.0007 (0.0123)	Xent 6.1435 (6.4123)	Htri 0.3840 (0.2545)	Acc 0.00 (0.64)	
Epoch: [1][160/1574]	Time 0.154 (0.370)	Data 0.0005 (0.0115)	Xent 5.9798 (6.4095)	Htri 2.1041 (0.2828)	Acc 0.00 (0.65)	
Epoch: [1][170/1574]	Time 0.154 (0.357)	Data 0.0003 (0.0109)	Xent 6.5223 (6.4062)	Htri 0.1743 (0.2774)	Acc 0.00 (0.66)	
Epoch: [1][180/1574]	Time 0.153 (0.346)	Data 0.0002 (0.0103)	Xent 6.3638 (6.4003)	Htri 0.1340 (0.2745)	Acc 0.00 (0.62)	
Epoch: [1][190/1574]	Time 0.156 (0.336)	Data 0.0006 (0.0098)	Xent 6.0560 (6.3928)	Htri 0.0082 (0.2715)	Acc 0.00 (0.64)	
Epoch: [1][200/1574]	Time 0.165 (0.328)	Data 0.0003 (0.0093)	Xent 6.3180 (6.3928)	Htri 0.0023 (0.2659)	Acc 0.00 (0.69)	
Epoch: [1][210/1574]	Time 0.154 (0.320)	Data 0.0004 (0.0089)	Xent 5.9897 (6.3837)	Htri 0.0000 (0.2763)	Acc 4.17 (0.67)	
Epoch: [1][220/1574]	Time 0.160 (0.313)	Data 0.0006 (0.0085)	Xent 6.2331 (6.3832)	Htri 0.0000 (0.2724)	Acc 0.00 (0.68)	
Epoch: [1][230/1574]	Time 0.163 (0.307)	Data 0.0003 (0.0082)	Xent 6.7870 (6.3804)	Htri 0.0505 (0.2734)	Acc 0.00 (0.74)	
Epoch: [1][240/1574]	Time 0.156 (0.301)	Data 0.0002 (0.0079)	Xent 6.0787 (6.3722)	Htri 0.1798 (0.2667)	Acc 4.17 (0.76)	
Epoch: [1][250/1574]	Time 0.150 (0.296)	Data 0.0003 (0.0076)	Xent 6.1101 (6.3675)	Htri 0.2298 (0.2592)	Acc 0.00 (0.75)	
Epoch: [1][260/1574]	Time 0.153 (0.290)	Data 0.0002 (0.0073)	Xent 5.9914 (6.3600)	Htri 0.3353 (0.2526)	Acc 0.00 (0.75)	
Epoch: [1][270/1574]	Time 0.161 (0.285)	Data 0.0003 (0.0070)	Xent 6.1677 (6.3529)	Htri 0.0059 (0.2482)	Acc 0.00 (0.80)	
Epoch: [1][280/1574]	Time 0.165 (0.281)	Data 0.0006 (0.0068)	Xent 6.1152 (6.3482)	Htri 0.0937 (0.2495)	Acc 0.00 (0.80)	
Epoch: [1][290/1574]	Time 0.147 (0.277)	Data 0.0004 (0.0066)	Xent 6.4320 (6.3417)	Htri 0.0000 (0.2544)	Acc 0.00 (0.82)	
Epoch: [1][300/1574]	Time 0.161 (0.273)	Data 0.0002 (0.0064)	Xent 6.2358 (6.3333)	Htri 0.0167 (0.2639)	Acc 0.00 (0.81)	
Epoch: [1][310/1574]	Time 0.163 (0.269)	Data 0.0002 (0.0062)	Xent 6.1250 (6.3249)	Htri 0.0000 (0.2662)	Acc 4.17 (0.82)	
Epoch: [1][320/1574]	Time 0.156 (0.266)	Data 0.0005 (0.0060)	Xent 6.1891 (6.3227)	Htri 0.0000 (0.2585)	Acc 0.00 (0.82)	
Epoch: [1][330/1574]	Time 0.160 (0.263)	Data 0.0006 (0.0058)	Xent 5.9018 (6.3136)	Htri 0.0306 (0.2569)	Acc 0.00 (0.82)	
Epoch: [1][340/1574]	Time 0.157 (0.260)	Data 0.0004 (0.0057)	Xent 5.8387 (6.3037)	Htri 0.1181 (0.2552)	Acc 0.00 (0.85)	
Epoch: [1][350/1574]	Time 0.155 (0.257)	Data 0.0003 (0.0055)	Xent 5.8801 (6.2943)	Htri 0.0000 (0.2535)	Acc 0.00 (0.87)	
Epoch: [1][360/1574]	Time 0.151 (0.254)	Data 0.0004 (0.0054)	Xent 5.9512 (6.2854)	Htri 0.0000 (0.2545)	Acc 4.17 (0.89)	
Epoch: [1][370/1574]	Time 0.154 (0.252)	Data 0.0003 (0.0052)	Xent 6.1561 (6.2781)	Htri 0.0000 (0.2535)	Acc 0.00 (0.92)	
Epoch: [1][380/1574]	Time 0.162 (0.250)	Data 0.0003 (0.0051)	Xent 6.0565 (6.2741)	Htri 0.0000 (0.2530)	Acc 0.00 (0.92)	
Epoch: [1][390/1574]	Time 0.162 (0.247)	Data 0.0003 (0.0050)	Xent 6.1593 (6.2661)	Htri 0.0000 (0.2487)	Acc 0.00 (0.93)	
Epoch: [1][400/1574]	Time 0.156 (0.245)	Data 0.0003 (0.0049)	Xent 5.6139 (6.2569)	Htri 0.1809 (0.2496)	Acc 4.17 (0.96)	
Epoch: [1][410/1574]	Time 0.155 (0.243)	Data 0.0004 (0.0048)	Xent 5.7327 (6.2502)	Htri 0.0000 (0.2441)	Acc 0.00 (0.97)	
Epoch: [1][420/1574]	Time 0.161 (0.241)	Data 0.0007 (0.0047)	Xent 5.9099 (6.2428)	Htri 0.0168 (0.2445)	Acc 4.17 (0.97)	
Epoch: [1][430/1574]	Time 0.154 (0.239)	Data 0.0002 (0.0046)	Xent 5.6559 (6.2334)	Htri 0.0000 (0.2452)	Acc 0.00 (0.98)	
Epoch: [1][440/1574]	Time 0.168 (0.237)	Data 0.0010 (0.0045)	Xent 5.9592 (6.2271)	Htri 0.0000 (0.2425)	Acc 0.00 (0.98)	
Epoch: [1][450/1574]	Time 0.160 (0.236)	Data 0.0018 (0.0044)	Xent 5.7766 (6.2177)	Htri 0.2948 (0.2424)	Acc 0.00 (0.96)	
