==========
Args:Namespace(adam_beta1=0.9, adam_beta2=0.999, arch='resnet50_fc512', color_aug=False, color_jitter=False, eval_freq=5, evaluate=False, gamma=0.1, gpu_devices='0', height=224, label_smooth=False, lambda_htri=1, lambda_xent=1, load_weights='', lr=0.0003, lr_scheduler='multi_step', margin=0.3, max_epoch=60, momentum=0.9, no_pretrained=True, num_instances=4, optim='amsgrad', print_freq=10, query_remove=True, random_erase=False, resume='/mnt/fast/nobackup/users/rs01960/AdvanceCV/VehicleReID/Logs/resnet50_fc512_60_amsgrad_0.0003_visualization', rmsprop_alpha=0.99, root='/mnt/fast/nobackup/users/rs01960/AdvanceCV', save_dir='/mnt/fast/nobackup/users/rs01960/AdvanceCV/VehicleReID/Logs/resnet50_fc512_60_amsgrad_0.0003_visualization', seed=1, sgd_dampening=0, sgd_nesterov=False, source_names=['veri'], split_id=0, start_epoch=0, start_eval=0, stepsize=[20, 40], target_names=['veri'], test_batch_size=100, test_size=800, train_batch_size=64, train_sampler='RandomSampler', use_avai_gpus=False, use_cpu=False, visualize_ranks=False, weight_decay=0.0005, width=224, workers=8)
==========
Value Of GPU :  True
Currently using GPU 0
Initializing image data manager
=> Initializing TRAIN (source) datasets
=> VeRi loaded
Image Dataset statistics:
  ----------------------------------------
  subset   | # ids | # images | # cameras
  ----------------------------------------
  train    |   576 |    37778 |        20
  query    |   200 |     1678 |        19
  gallery  |   200 |    11579 |        19
  ----------------------------------------
=> Initializing TEST (target) datasets
=> VeRi loaded
Image Dataset statistics:
  ----------------------------------------
  subset   | # ids | # images | # cameras
  ----------------------------------------
  train    |   576 |    37778 |        20
  query    |   200 |     1678 |        19
  gallery  |   200 |    11579 |        19
  ----------------------------------------


  **************** Summary ****************
  train names      : ['veri']
  # train datasets : 1
  # train ids      : 576
  # train images   : 37778
  # train cameras  : 20
  test names       : ['veri']
  *****************************************


Initializing model: resnet50_fc512
Model size: 24.558 M
=> Start training
Epoch: [1][10/590]	Time 0.338 (5.091)	Data 0.0003 (0.1443)	Xent 6.2949 (6.3392)	Htri 0.0000 (1.0499)	Acc 0.00 (0.47)	
Epoch: [1][20/590]	Time 0.340 (2.715)	Data 0.0002 (0.0724)	Xent 6.1673 (6.3198)	Htri 2.8789 (0.9837)	Acc 0.00 (0.31)	
Epoch: [1][30/590]	Time 0.340 (1.923)	Data 0.0002 (0.0484)	Xent 6.2369 (6.3059)	Htri 0.8433 (0.9598)	Acc 3.12 (0.78)	
Epoch: [1][40/590]	Time 0.341 (1.528)	Data 0.0002 (0.0364)	Xent 6.4377 (6.3156)	Htri 3.5933 (0.9157)	Acc 4.69 (0.86)	
Epoch: [1][50/590]	Time 0.340 (1.291)	Data 0.0002 (0.0292)	Xent 6.2205 (6.3191)	Htri 0.1984 (0.8370)	Acc 1.56 (0.81)	
Epoch: [1][60/590]	Time 0.342 (1.133)	Data 0.0003 (0.0244)	Xent 6.2889 (6.3085)	Htri 0.8683 (0.7745)	Acc 4.69 (0.89)	
Epoch: [1][70/590]	Time 0.343 (1.019)	Data 0.0004 (0.0209)	Xent 6.2953 (6.2965)	Htri 0.0366 (0.7176)	Acc 1.56 (0.92)	
Epoch: [1][80/590]	Time 0.343 (0.935)	Data 0.0004 (0.0183)	Xent 6.2051 (6.2843)	Htri 2.5263 (0.7533)	Acc 1.56 (0.88)	
Epoch: [1][90/590]	Time 0.341 (0.869)	Data 0.0003 (0.0163)	Xent 6.0592 (6.2768)	Htri 3.2556 (0.7485)	Acc 3.12 (0.97)	
Epoch: [1][100/590]	Time 0.340 (0.816)	Data 0.0002 (0.0147)	Xent 6.1361 (6.2708)	Htri 0.0637 (0.7414)	Acc 1.56 (0.95)	
Epoch: [1][110/590]	Time 0.339 (0.773)	Data 0.0003 (0.0134)	Xent 6.1173 (6.2588)	Htri 0.1244 (0.7241)	Acc 0.00 (0.94)	
Epoch: [1][120/590]	Time 0.340 (0.737)	Data 0.0002 (0.0123)	Xent 6.2684 (6.2522)	Htri 0.1201 (0.7468)	Acc 0.00 (0.92)	
Epoch: [1][130/590]	Time 0.340 (0.706)	Data 0.0003 (0.0114)	Xent 6.1107 (6.2437)	Htri 0.8968 (0.7338)	Acc 0.00 (0.85)	
Epoch: [1][140/590]	Time 0.338 (0.680)	Data 0.0003 (0.0106)	Xent 6.2301 (6.2447)	Htri 0.5697 (0.7113)	Acc 0.00 (0.81)	
Epoch: [1][150/590]	Time 0.339 (0.657)	Data 0.0003 (0.0099)	Xent 6.1195 (6.2430)	Htri 0.4680 (0.6880)	Acc 0.00 (0.81)	
Epoch: [1][160/590]	Time 0.339 (0.637)	Data 0.0002 (0.0093)	Xent 6.0045 (6.2364)	Htri 1.9014 (0.6686)	Acc 1.56 (0.88)	
Epoch: [1][170/590]	Time 0.340 (0.620)	Data 0.0003 (0.0088)	Xent 6.0813 (6.2305)	Htri 0.0467 (0.6466)	Acc 1.56 (0.86)	
Epoch: [1][180/590]	Time 0.340 (0.604)	Data 0.0002 (0.0083)	Xent 6.0160 (6.2220)	Htri 0.3365 (0.6274)	Acc 4.69 (0.91)	
Epoch: [1][190/590]	Time 0.347 (0.590)	Data 0.0004 (0.0079)	Xent 6.0727 (6.2196)	Htri 0.0225 (0.6311)	Acc 4.69 (0.95)	
Epoch: [1][200/590]	Time 0.340 (0.578)	Data 0.0003 (0.0075)	Xent 6.0397 (6.2139)	Htri 0.1077 (0.6326)	Acc 3.12 (0.96)	
Epoch: [1][210/590]	Time 0.342 (0.567)	Data 0.0004 (0.0072)	Xent 5.9829 (6.2034)	Htri 0.0756 (0.6318)	Acc 1.56 (0.96)	
Epoch: [1][220/590]	Time 0.342 (0.556)	Data 0.0004 (0.0069)	Xent 6.1796 (6.1949)	Htri 0.3686 (0.6183)	Acc 1.56 (0.97)	
Epoch: [1][230/590]	Time 0.344 (0.547)	Data 0.0004 (0.0066)	Xent 5.9250 (6.1843)	Htri 0.4042 (0.6109)	Acc 1.56 (1.03)	
Epoch: [1][240/590]	Time 0.344 (0.539)	Data 0.0004 (0.0063)	Xent 6.1355 (6.1748)	Htri 0.1158 (0.5957)	Acc 1.56 (1.05)	
Epoch: [1][250/590]	Time 0.340 (0.531)	Data 0.0002 (0.0061)	Xent 5.8815 (6.1638)	Htri 0.2221 (0.5818)	Acc 4.69 (1.11)	
Epoch: [1][260/590]	Time 0.340 (0.523)	Data 0.0002 (0.0059)	Xent 5.9210 (6.1540)	Htri 0.5638 (0.5857)	Acc 1.56 (1.10)	
Epoch: [1][270/590]	Time 0.343 (0.517)	Data 0.0002 (0.0057)	Xent 5.8023 (6.1421)	Htri 0.1524 (0.5727)	Acc 0.00 (1.12)	
Epoch: [1][280/590]	Time 0.341 (0.511)	Data 0.0002 (0.0055)	Xent 6.1143 (6.1343)	Htri 0.3162 (0.5613)	Acc 0.00 (1.12)	
