==========
Args:Namespace(adam_beta1=0.9, adam_beta2=0.999, arch='swinTransformer', color_aug=False, color_jitter=False, eval_freq=20, evaluate=False, gamma=0.1, gpu_devices='0', height=224, label_smooth=False, lambda_htri=1, lambda_xent=1, load_weights='', lr=0.0003, lr_scheduler='multi_step', margin=0.3, max_epoch=60, momentum=0.9, no_pretrained=True, num_instances=4, optim='adam', print_freq=10, query_remove=True, random_erase=False, resume='/mnt/fast/nobackup/users/rs01960/AdvanceCV/VehicleReID/Logs/swinTransformer_60_adam_0.0003', rmsprop_alpha=0.99, root='/mnt/fast/nobackup/users/rs01960/AdvanceCV', save_dir='/mnt/fast/nobackup/users/rs01960/AdvanceCV/VehicleReID/Logs/swinTransformer_60_adam_0.0003', seed=1, sgd_dampening=0, sgd_nesterov=False, source_names=['veri'], split_id=0, start_epoch=0, start_eval=0, stepsize=[20, 40], target_names=['veri'], test_batch_size=100, test_size=800, train_batch_size=64, train_sampler='RandomSampler', use_avai_gpus=False, use_cpu=False, visualize_ranks=False, weight_decay=0.0005, width=224, workers=8)
==========
Value Of GPU :  True
Currently using GPU 0
Initializing image data manager
=> Initializing TRAIN (source) datasets
=> VeRi loaded
Image Dataset statistics:
  ----------------------------------------
  subset   | # ids | # images | # cameras
  ----------------------------------------
  train    |   576 |    37778 |        20
  query    |   200 |     1678 |        19
  gallery  |   200 |    11579 |        19
  ----------------------------------------
=> Initializing TEST (target) datasets
=> VeRi loaded
Image Dataset statistics:
  ----------------------------------------
  subset   | # ids | # images | # cameras
  ----------------------------------------
  train    |   576 |    37778 |        20
  query    |   200 |     1678 |        19
  gallery  |   200 |    11579 |        19
  ----------------------------------------


  **************** Summary ****************
  train names      : ['veri']
  # train datasets : 1
  # train ids      : 576
  # train images   : 37778
  # train cameras  : 20
  test names       : ['veri']
  *****************************************


Initializing model: swinTransformer
Model size: 27.962 M
=> Start training
Epoch: [1][10/590]	Time 0.365 (2.381)	Data 0.0006 (0.1295)	Xent 6.4604 (6.4832)	Htri 0.5358 (0.7491)	Acc 0.00 (0.62)	
Epoch: [1][20/590]	Time 0.365 (1.378)	Data 0.0004 (0.0650)	Xent 6.5007 (6.4835)	Htri 0.2731 (0.5008)	Acc 1.56 (0.70)	
Epoch: [1][30/590]	Time 0.368 (1.040)	Data 0.0005 (0.0434)	Xent 6.6957 (6.4684)	Htri 0.0729 (0.3971)	Acc 3.12 (0.94)	
Epoch: [1][40/590]	Time 0.368 (0.871)	Data 0.0005 (0.0327)	Xent 6.4026 (6.4799)	Htri 0.0628 (0.3332)	Acc 0.00 (1.02)	
Epoch: [1][50/590]	Time 0.355 (0.770)	Data 0.0006 (0.0263)	Xent 6.4794 (6.4588)	Htri 0.1976 (0.2963)	Acc 1.56 (1.00)	
Epoch: [1][60/590]	Time 0.378 (0.704)	Data 0.0007 (0.0220)	Xent 6.3826 (6.4352)	Htri 0.0748 (0.2633)	Acc 1.56 (0.99)	
Epoch: [1][70/590]	Time 0.373 (0.656)	Data 0.0002 (0.0189)	Xent 6.1687 (6.4202)	Htri 0.1802 (0.2407)	Acc 0.00 (0.98)	
Epoch: [1][80/590]	Time 0.352 (0.619)	Data 0.0002 (0.0166)	Xent 6.3009 (6.4019)	Htri 0.2110 (0.2286)	Acc 1.56 (1.07)	
Epoch: [1][90/590]	Time 0.364 (0.592)	Data 0.0002 (0.0148)	Xent 6.3757 (6.3862)	Htri 0.2455 (0.2218)	Acc 0.00 (1.01)	
Epoch: [1][100/590]	Time 0.369 (0.571)	Data 0.0004 (0.0134)	Xent 6.1817 (6.3737)	Htri 0.3385 (0.2149)	Acc 4.69 (1.08)	
Epoch: [1][110/590]	Time 0.346 (0.552)	Data 0.0003 (0.0122)	Xent 6.2865 (6.3589)	Htri 0.2250 (0.2113)	Acc 4.69 (1.08)	
Epoch: [1][120/590]	Time 0.376 (0.537)	Data 0.0003 (0.0112)	Xent 6.1628 (6.3457)	Htri 0.1100 (0.2053)	Acc 0.00 (1.12)	
