==========
Args:Namespace(adam_beta1=0.9, adam_beta2=0.999, arch='swinTransformer', color_aug=False, color_jitter=False, eval_freq=5, evaluate=False, gamma=0.1, gpu_devices='0', height=224, label_smooth=False, lambda_htri=1, lambda_xent=1, load_weights='', lr=0.0003, lr_scheduler='multi_step', margin=0.3, max_epoch=60, momentum=0.9, no_pretrained=True, num_instances=4, optim='amsgrad', print_freq=10, query_remove=True, random_erase=False, resume='/mnt/fast/nobackup/users/rs01960/AdvanceCV/VehicleReID/Logs/swinTransformer_60_amsgrad_0.0003', rmsprop_alpha=0.99, root='/mnt/fast/nobackup/users/rs01960/AdvanceCV', save_dir='/mnt/fast/nobackup/users/rs01960/AdvanceCV/VehicleReID/Logs/swinTransformer_60_amsgrad_0.0003', seed=1, sgd_dampening=0, sgd_nesterov=False, source_names=['veri'], split_id=0, start_epoch=0, start_eval=0, stepsize=[20, 40], target_names=['veri'], test_batch_size=100, test_size=800, train_batch_size=64, train_sampler='RandomSampler', use_avai_gpus=False, use_cpu=False, visualize_ranks=False, weight_decay=0.0005, width=224, workers=8)
==========
Value Of GPU :  True
Currently using GPU 0
Initializing image data manager
=> Initializing TRAIN (source) datasets
=> VeRi loaded
Image Dataset statistics:
  ----------------------------------------
  subset   | # ids | # images | # cameras
  ----------------------------------------
  train    |   576 |    37778 |        20
  query    |   200 |     1678 |        19
  gallery  |   200 |    11579 |        19
  ----------------------------------------
=> Initializing TEST (target) datasets
=> VeRi loaded
Image Dataset statistics:
  ----------------------------------------
  subset   | # ids | # images | # cameras
  ----------------------------------------
  train    |   576 |    37778 |        20
  query    |   200 |     1678 |        19
  gallery  |   200 |    11579 |        19
  ----------------------------------------


  **************** Summary ****************
  train names      : ['veri']
  # train datasets : 1
  # train ids      : 576
  # train images   : 37778
  # train cameras  : 20
  test names       : ['veri']
  *****************************************


Initializing model: swinTransformer
Model size: 27.962 M
=> Start training
Epoch: [1][10/590]	Time 0.343 (1.247)	Data 0.0004 (0.0653)	Xent 6.4604 (6.4832)	Htri 0.5358 (0.7491)	Acc 0.00 (0.62)	
Epoch: [1][20/590]	Time 0.343 (0.795)	Data 0.0002 (0.0328)	Xent 6.4912 (6.4829)	Htri 0.3427 (0.5041)	Acc 1.56 (0.70)	
Epoch: [1][30/590]	Time 0.343 (0.645)	Data 0.0002 (0.0220)	Xent 6.6948 (6.4676)	Htri 0.0746 (0.4008)	Acc 3.12 (0.94)	
Epoch: [1][40/590]	Time 0.343 (0.570)	Data 0.0002 (0.0165)	Xent 6.4079 (6.4797)	Htri 0.0638 (0.3376)	Acc 0.00 (1.02)	
Epoch: [1][50/590]	Time 0.342 (0.524)	Data 0.0002 (0.0133)	Xent 6.4808 (6.4590)	Htri 0.1873 (0.3003)	Acc 1.56 (1.00)	
Epoch: [1][60/590]	Time 0.343 (0.494)	Data 0.0004 (0.0111)	Xent 6.3813 (6.4350)	Htri 0.0809 (0.2671)	Acc 1.56 (0.99)	
Epoch: [1][70/590]	Time 0.343 (0.473)	Data 0.0002 (0.0096)	Xent 6.1542 (6.4185)	Htri 0.1573 (0.2439)	Acc 0.00 (0.96)	
Epoch: [1][80/590]	Time 0.346 (0.457)	Data 0.0003 (0.0084)	Xent 6.2753 (6.3984)	Htri 0.1653 (0.2324)	Acc 1.56 (1.05)	
Epoch: [1][90/590]	Time 0.344 (0.444)	Data 0.0002 (0.0075)	Xent 6.3718 (6.3811)	Htri 0.2492 (0.2289)	Acc 0.00 (0.99)	
Epoch: [1][100/590]	Time 0.347 (0.434)	Data 0.0003 (0.0068)	Xent 6.1979 (6.3703)	Htri 0.3194 (0.2220)	Acc 4.69 (1.06)	
Epoch: [1][110/590]	Time 0.345 (0.426)	Data 0.0003 (0.0062)	Xent 6.3246 (6.3590)	Htri 0.1319 (0.2147)	Acc 3.12 (1.07)	
Epoch: [1][120/590]	Time 0.344 (0.419)	Data 0.0003 (0.0057)	Xent 6.0937 (6.3441)	Htri 0.1316 (0.2084)	Acc 3.12 (1.15)	
Epoch: [1][130/590]	Time 0.346 (0.414)	Data 0.0003 (0.0053)	Xent 6.0864 (6.3255)	Htri 0.1329 (0.2074)	Acc 1.56 (1.15)	
Epoch: [1][140/590]	Time 0.344 (0.409)	Data 0.0001 (0.0049)	Xent 6.0387 (6.3151)	Htri 0.3097 (0.2053)	Acc 0.00 (1.16)	
Epoch: [1][150/590]	Time 0.354 (0.405)	Data 0.0003 (0.0046)	Xent 6.2526 (6.3037)	Htri 0.4175 (0.2207)	Acc 1.56 (1.12)	
Epoch: [1][160/590]	Time 0.344 (0.401)	Data 0.0003 (0.0043)	Xent 6.3043 (6.3014)	Htri 0.1465 (0.2154)	Acc 0.00 (1.09)	
Epoch: [1][170/590]	Time 0.348 (0.398)	Data 0.0003 (0.0041)	Xent 6.0163 (6.2994)	Htri 0.2306 (0.2132)	Acc 3.12 (1.09)	
Epoch: [1][180/590]	Time 0.347 (0.395)	Data 0.0003 (0.0039)	Xent 6.1613 (6.2961)	Htri 0.0748 (0.2095)	Acc 0.00 (1.07)	
Epoch: [1][190/590]	Time 0.347 (0.392)	Data 0.0002 (0.0037)	Xent 6.2438 (6.2913)	Htri 0.0922 (0.2059)	Acc 1.56 (1.09)	
Epoch: [1][200/590]	Time 0.346 (0.390)	Data 0.0003 (0.0035)	Xent 6.0399 (6.2847)	Htri 0.3811 (0.2033)	Acc 0.00 (1.09)	
Epoch: [1][210/590]	Time 0.345 (0.388)	Data 0.0003 (0.0034)	Xent 6.2886 (6.2823)	Htri 0.0393 (0.2005)	Acc 0.00 (1.08)	
Epoch: [1][220/590]	Time 0.346 (0.386)	Data 0.0002 (0.0032)	Xent 6.1128 (6.2812)	Htri 0.2347 (0.1975)	Acc 3.12 (1.09)	
Epoch: [1][230/590]	Time 0.347 (0.384)	Data 0.0002 (0.0031)	Xent 6.2901 (6.2802)	Htri 0.0467 (0.1944)	Acc 0.00 (1.07)	
Epoch: [1][240/590]	Time 0.346 (0.383)	Data 0.0003 (0.0030)	Xent 6.1029 (6.2754)	Htri 0.0706 (0.1919)	Acc 1.56 (1.12)	
Epoch: [1][250/590]	Time 0.349 (0.381)	Data 0.0003 (0.0029)	Xent 6.1150 (6.2704)	Htri 0.1255 (0.1895)	Acc 1.56 (1.14)	
Epoch: [1][260/590]	Time 0.346 (0.380)	Data 0.0002 (0.0028)	Xent 6.0901 (6.2667)	Htri 0.0000 (0.1864)	Acc 3.12 (1.14)	
Epoch: [1][270/590]	Time 0.346 (0.379)	Data 0.0002 (0.0027)	Xent 5.9550 (6.2580)	Htri 0.0868 (0.1862)	Acc 0.00 (1.16)	
Epoch: [1][280/590]	Time 0.347 (0.378)	Data 0.0003 (0.0026)	Xent 6.1884 (6.2509)	Htri 0.2815 (0.1887)	Acc 0.00 (1.17)	
Epoch: [1][290/590]	Time 0.349 (0.377)	Data 0.0002 (0.0025)	Xent 6.0085 (6.2435)	Htri 0.3159 (0.1895)	Acc 1.56 (1.17)	
Epoch: [1][300/590]	Time 0.347 (0.376)	Data 0.0001 (0.0024)	Xent 6.1009 (6.2377)	Htri 0.1912 (0.1888)	Acc 0.00 (1.19)	
Epoch: [1][310/590]	Time 0.348 (0.375)	Data 0.0001 (0.0024)	Xent 5.9971 (6.2288)	Htri 0.2063 (0.1898)	Acc 0.00 (1.21)	
Epoch: [1][320/590]	Time 0.347 (0.374)	Data 0.0003 (0.0023)	Xent 6.1951 (6.2253)	Htri 0.3343 (0.1896)	Acc 3.12 (1.23)	
Epoch: [1][330/590]	Time 0.348 (0.373)	Data 0.0004 (0.0022)	Xent 5.8023 (6.2172)	Htri 0.4968 (0.1926)	Acc 0.00 (1.21)	
Epoch: [1][340/590]	Time 0.347 (0.372)	Data 0.0003 (0.0022)	Xent 6.0844 (6.2106)	Htri 0.1644 (0.1967)	Acc 1.56 (1.23)	
Epoch: [1][350/590]	Time 0.356 (0.372)	Data 0.0002 (0.0021)	Xent 6.0055 (6.2063)	Htri 0.3800 (0.1964)	Acc 3.12 (1.22)	
Epoch: [1][360/590]	Time 0.349 (0.371)	Data 0.0004 (0.0021)	Xent 6.2191 (6.2024)	Htri 0.1589 (0.1945)	Acc 0.00 (1.21)	
Epoch: [1][370/590]	Time 0.346 (0.370)	Data 0.0003 (0.0020)	Xent 6.1156 (6.1963)	Htri 0.2415 (0.1958)	Acc 0.00 (1.21)	
Epoch: [1][380/590]	Time 0.347 (0.370)	Data 0.0003 (0.0020)	Xent 5.9136 (6.1897)	Htri 0.3715 (0.1982)	Acc 1.56 (1.21)	
Epoch: [1][390/590]	Time 0.347 (0.369)	Data 0.0002 (0.0019)	Xent 5.8167 (6.1847)	Htri 0.4702 (0.1977)	Acc 4.69 (1.23)	
Epoch: [1][400/590]	Time 0.348 (0.369)	Data 0.0003 (0.0019)	Xent 5.8346 (6.1800)	Htri 0.5284 (0.1987)	Acc 6.25 (1.23)	
Epoch: [1][410/590]	Time 0.349 (0.368)	Data 0.0003 (0.0019)	Xent 5.9144 (6.1745)	Htri 0.1439 (0.1972)	Acc 0.00 (1.21)	
Epoch: [1][420/590]	Time 0.348 (0.368)	Data 0.0002 (0.0018)	Xent 5.8068 (6.1693)	Htri 0.2793 (0.1984)	Acc 1.56 (1.23)	
Epoch: [1][430/590]	Time 0.350 (0.367)	Data 0.0003 (0.0018)	Xent 6.1093 (6.1631)	Htri 0.0973 (0.2004)	Acc 1.56 (1.26)	
Epoch: [1][440/590]	Time 0.348 (0.367)	Data 0.0003 (0.0017)	Xent 5.9322 (6.1577)	Htri 0.0886 (0.2001)	Acc 3.12 (1.26)	
Epoch: [1][450/590]	Time 0.350 (0.366)	Data 0.0003 (0.0017)	Xent 6.0286 (6.1527)	Htri 0.1904 (0.2003)	Acc 0.00 (1.25)	
Epoch: [1][460/590]	Time 0.349 (0.366)	Data 0.0002 (0.0017)	Xent 5.8054 (6.1473)	Htri 0.1824 (0.2009)	Acc 1.56 (1.26)	
Epoch: [1][470/590]	Time 0.349 (0.366)	Data 0.0002 (0.0017)	Xent 5.9643 (6.1422)	Htri 0.1231 (0.2020)	Acc 1.56 (1.24)	
Epoch: [1][480/590]	Time 0.355 (0.365)	Data 0.0003 (0.0016)	Xent 5.9476 (6.1380)	Htri 0.1619 (0.2021)	Acc 4.69 (1.25)	
Epoch: [1][490/590]	Time 0.349 (0.365)	Data 0.0003 (0.0016)	Xent 5.8344 (6.1335)	Htri 0.0402 (0.2018)	Acc 3.12 (1.26)	
Epoch: [1][500/590]	Time 0.349 (0.365)	Data 0.0003 (0.0016)	Xent 5.9474 (6.1292)	Htri 0.2109 (0.2028)	Acc 1.56 (1.27)	
Epoch: [1][510/590]	Time 0.346 (0.364)	Data 0.0002 (0.0015)	Xent 5.7269 (6.1237)	Htri 0.1627 (0.2028)	Acc 1.56 (1.29)	
Epoch: [1][520/590]	Time 0.347 (0.364)	Data 0.0003 (0.0015)	Xent 6.0910 (6.1195)	Htri 0.1591 (0.2024)	Acc 0.00 (1.31)	
Epoch: [1][530/590]	Time 0.350 (0.364)	Data 0.0003 (0.0015)	Xent 5.8309 (6.1136)	Htri 0.0895 (0.2023)	Acc 0.00 (1.31)	
Epoch: [1][540/590]	Time 0.349 (0.364)	Data 0.0002 (0.0015)	Xent 5.7708 (6.1082)	Htri 0.2718 (0.2025)	Acc 1.56 (1.32)	
Epoch: [1][550/590]	Time 0.349 (0.363)	Data 0.0003 (0.0015)	Xent 5.7034 (6.1031)	Htri 0.2319 (0.2016)	Acc 1.56 (1.31)	
Epoch: [1][560/590]	Time 0.346 (0.363)	Data 0.0003 (0.0014)	Xent 5.9892 (6.0981)	Htri 0.2215 (0.2024)	Acc 4.69 (1.34)	
Epoch: [1][570/590]	Time 0.349 (0.363)	Data 0.0003 (0.0014)	Xent 6.0907 (6.0938)	Htri 0.4737 (0.2027)	Acc 0.00 (1.33)	
Epoch: [1][580/590]	Time 0.346 (0.362)	Data 0.0001 (0.0014)	Xent 5.6738 (6.0896)	Htri 0.3192 (0.2030)	Acc 6.25 (1.37)	
Epoch: [1][590/590]	Time 0.351 (0.362)	Data 0.0001 (0.0014)	Xent 5.8286 (6.0851)	Htri 0.2660 (0.2023)	Acc 1.56 (1.36)	
Epoch: [2][10/590]	Time 0.353 (0.402)	Data 0.0007 (0.0504)	Xent 5.8073 (5.7668)	Htri 0.1364 (0.1577)	Acc 6.25 (3.28)	
Epoch: [2][20/590]	Time 0.350 (0.377)	Data 0.0003 (0.0254)	Xent 5.9234 (5.7934)	Htri 0.1055 (0.2086)	Acc 1.56 (2.73)	
Epoch: [2][30/590]	Time 0.352 (0.369)	Data 0.0002 (0.0170)	Xent 5.8926 (5.7993)	Htri 0.0256 (0.1862)	Acc 1.56 (2.45)	
Epoch: [2][40/590]	Time 0.349 (0.365)	Data 0.0002 (0.0128)	Xent 5.6821 (5.7955)	Htri 0.3666 (0.1932)	Acc 3.12 (2.38)	
Epoch: [2][50/590]	Time 0.353 (0.362)	Data 0.0003 (0.0103)	Xent 5.7370 (5.7799)	Htri 0.2283 (0.1955)	Acc 3.12 (2.47)	
Epoch: [2][60/590]	Time 0.350 (0.361)	Data 0.0005 (0.0087)	Xent 5.7024 (5.7704)	Htri 0.3741 (0.2122)	Acc 6.25 (2.40)	
Epoch: [2][70/590]	Time 0.354 (0.360)	Data 0.0004 (0.0075)	Xent 6.1100 (5.7724)	Htri 0.0901 (0.2142)	Acc 0.00 (2.37)	
Epoch: [2][80/590]	Time 0.350 (0.359)	Data 0.0002 (0.0066)	Xent 5.6465 (5.7716)	Htri 0.1923 (0.2161)	Acc 4.69 (2.27)	
Epoch: [2][90/590]	Time 0.351 (0.358)	Data 0.0003 (0.0059)	Xent 5.5133 (5.7695)	Htri 0.1331 (0.2219)	Acc 4.69 (2.27)	
Epoch: [2][100/590]	Time 0.351 (0.357)	Data 0.0004 (0.0053)	Xent 5.5557 (5.7583)	Htri 0.4568 (0.2332)	Acc 1.56 (2.36)	
Epoch: [2][110/590]	Time 0.351 (0.357)	Data 0.0003 (0.0049)	Xent 5.8284 (5.7621)	Htri 0.0323 (0.2277)	Acc 1.56 (2.32)	
Epoch: [2][120/590]	Time 0.352 (0.356)	Data 0.0005 (0.0045)	Xent 5.7690 (5.7596)	Htri 0.1993 (0.2246)	Acc 4.69 (2.37)	
Epoch: [2][130/590]	Time 0.351 (0.356)	Data 0.0003 (0.0042)	Xent 5.6454 (5.7510)	Htri 0.2634 (0.2329)	Acc 3.12 (2.44)	
Epoch: [2][140/590]	Time 0.351 (0.355)	Data 0.0001 (0.0039)	Xent 5.7805 (5.7508)	Htri 0.4206 (0.2392)	Acc 0.00 (2.44)	
Epoch: [2][150/590]	Time 0.352 (0.355)	Data 0.0006 (0.0037)	Xent 5.5513 (5.7405)	Htri 0.1565 (0.2430)	Acc 1.56 (2.48)	
Epoch: [2][160/590]	Time 0.349 (0.355)	Data 0.0004 (0.0035)	Xent 5.5985 (5.7266)	Htri 0.3184 (0.2487)	Acc 4.69 (2.52)	
Epoch: [2][170/590]	Time 0.351 (0.355)	Data 0.0004 (0.0033)	Xent 5.3651 (5.7169)	Htri 0.4280 (0.2523)	Acc 4.69 (2.57)	
Epoch: [2][180/590]	Time 0.353 (0.354)	Data 0.0002 (0.0031)	Xent 5.5217 (5.7112)	Htri 0.3450 (0.2573)	Acc 3.12 (2.56)	
Epoch: [2][190/590]	Time 0.348 (0.354)	Data 0.0003 (0.0030)	Xent 5.5209 (5.7005)	Htri 0.5591 (0.2635)	Acc 4.69 (2.66)	
Epoch: [2][200/590]	Time 0.351 (0.354)	Data 0.0002 (0.0028)	Xent 5.3224 (5.6893)	Htri 0.6408 (0.2654)	Acc 6.25 (2.62)	
Epoch: [2][210/590]	Time 0.352 (0.354)	Data 0.0006 (0.0027)	Xent 5.6544 (5.6815)	Htri 0.0948 (0.2654)	Acc 4.69 (2.64)	
Epoch: [2][220/590]	Time 0.353 (0.354)	Data 0.0002 (0.0026)	Xent 5.1060 (5.6694)	Htri 0.9409 (0.2720)	Acc 3.12 (2.71)	
Epoch: [2][230/590]	Time 0.353 (0.354)	Data 0.0002 (0.0025)	Xent 5.6236 (5.6622)	Htri 0.1566 (0.2748)	Acc 3.12 (2.74)	
Epoch: [2][240/590]	Time 0.351 (0.354)	Data 0.0002 (0.0024)	Xent 5.5193 (5.6590)	Htri 0.0598 (0.2726)	Acc 3.12 (2.73)	
Epoch: [2][250/590]	Time 0.352 (0.354)	Data 0.0004 (0.0023)	Xent 5.6265 (5.6518)	Htri 0.9052 (0.2775)	Acc 4.69 (2.79)	
Epoch: [2][260/590]	Time 0.352 (0.354)	Data 0.0002 (0.0023)	Xent 5.7175 (5.6473)	Htri 0.2067 (0.2774)	Acc 3.12 (2.79)	
Epoch: [2][270/590]	Time 0.353 (0.354)	Data 0.0006 (0.0022)	Xent 5.5667 (5.6403)	Htri 0.1912 (0.2768)	Acc 1.56 (2.82)	
Epoch: [2][280/590]	Time 0.356 (0.354)	Data 0.0002 (0.0021)	Xent 5.0365 (5.6294)	Htri 0.6118 (0.2772)	Acc 4.69 (2.82)	
Epoch: [2][290/590]	Time 0.354 (0.354)	Data 0.0003 (0.0021)	Xent 5.4312 (5.6211)	Htri 0.0998 (0.2785)	Acc 3.12 (2.85)	
Epoch: [2][300/590]	Time 0.354 (0.354)	Data 0.0003 (0.0020)	Xent 5.2441 (5.6086)	Htri 0.5133 (0.2797)	Acc 12.50 (2.93)	
Epoch: [2][310/590]	Time 0.352 (0.354)	Data 0.0004 (0.0020)	Xent 5.6271 (5.6039)	Htri 0.0718 (0.2770)	Acc 3.12 (2.93)	
Epoch: [2][320/590]	Time 0.352 (0.353)	Data 0.0002 (0.0019)	Xent 5.7496 (5.6001)	Htri 0.5153 (0.2807)	Acc 0.00 (2.92)	
