==========
Args:Namespace(adam_beta1=0.9, adam_beta2=0.999, arch='swinTransformer', color_aug=False, color_jitter=False, eval_freq=5, evaluate=False, gamma=0.1, gpu_devices='0', height=224, label_smooth=False, lambda_htri=1, lambda_xent=1, load_weights='', lr=6e-05, lr_scheduler='multi_step', margin=0.3, max_epoch=60, momentum=0.9, no_pretrained=True, num_instances=4, optim='sgd', print_freq=10, query_remove=True, random_erase=False, resume='/mnt/fast/nobackup/users/rs01960/AdvanceCV/VehicleReID/Logs/swinTransformer_60_sgd_0.00006', rmsprop_alpha=0.99, root='/mnt/fast/nobackup/users/rs01960/AdvanceCV', save_dir='/mnt/fast/nobackup/users/rs01960/AdvanceCV/VehicleReID/Logs/swinTransformer_60_sgd_0.00006', seed=1, sgd_dampening=0, sgd_nesterov=False, source_names=['veri'], split_id=0, start_epoch=0, start_eval=0, stepsize=[20, 40], target_names=['veri'], test_batch_size=100, test_size=800, train_batch_size=64, train_sampler='RandomSampler', use_avai_gpus=False, use_cpu=False, visualize_ranks=False, weight_decay=0.0005, width=224, workers=8)
==========
Value Of GPU :  True
Currently using GPU 0
Initializing image data manager
=> Initializing TRAIN (source) datasets
=> VeRi loaded
Image Dataset statistics:
  ----------------------------------------
  subset   | # ids | # images | # cameras
  ----------------------------------------
  train    |   576 |    37778 |        20
  query    |   200 |     1678 |        19
  gallery  |   200 |    11579 |        19
  ----------------------------------------
=> Initializing TEST (target) datasets
=> VeRi loaded
Image Dataset statistics:
  ----------------------------------------
  subset   | # ids | # images | # cameras
  ----------------------------------------
  train    |   576 |    37778 |        20
  query    |   200 |     1678 |        19
  gallery  |   200 |    11579 |        19
  ----------------------------------------


  **************** Summary ****************
  train names      : ['veri']
  # train datasets : 1
  # train ids      : 576
  # train images   : 37778
  # train cameras  : 20
  test names       : ['veri']
  *****************************************


Initializing model: swinTransformer
Model size: 27.962 M
=> Start training
Epoch: [1][10/590]	Time 0.244 (4.267)	Data 0.0005 (0.1198)	Xent 6.4922 (6.4243)	Htri 1.3631 (1.1600)	Acc 0.00 (0.31)	
Epoch: [1][20/590]	Time 0.247 (2.256)	Data 0.0003 (0.0600)	Xent 6.5201 (6.4268)	Htri 0.6645 (1.0031)	Acc 0.00 (0.16)	
Epoch: [1][30/590]	Time 0.241 (1.585)	Data 0.0002 (0.0401)	Xent 6.4474 (6.4271)	Htri 0.5571 (0.9635)	Acc 0.00 (0.16)	
Epoch: [1][40/590]	Time 0.246 (1.251)	Data 0.0003 (0.0302)	Xent 6.4132 (6.4309)	Htri 0.1715 (0.8917)	Acc 0.00 (0.12)	
Epoch: [1][50/590]	Time 0.252 (1.049)	Data 0.0005 (0.0242)	Xent 6.4682 (6.4286)	Htri 0.6871 (0.8682)	Acc 0.00 (0.09)	
Epoch: [1][60/590]	Time 0.242 (0.915)	Data 0.0002 (0.0202)	Xent 6.4542 (6.4275)	Htri 0.4800 (0.8117)	Acc 0.00 (0.08)	
Epoch: [1][70/590]	Time 0.245 (0.819)	Data 0.0001 (0.0173)	Xent 6.3355 (6.4229)	Htri 0.9424 (0.7881)	Acc 0.00 (0.09)	
Epoch: [1][80/590]	Time 0.244 (0.748)	Data 0.0001 (0.0152)	Xent 6.2978 (6.4192)	Htri 0.7481 (0.7625)	Acc 0.00 (0.08)	
Epoch: [1][90/590]	Time 0.246 (0.692)	Data 0.0006 (0.0135)	Xent 6.4564 (6.4170)	Htri 0.7785 (0.7427)	Acc 0.00 (0.10)	
Epoch: [1][100/590]	Time 0.243 (0.647)	Data 0.0001 (0.0122)	Xent 6.3140 (6.4121)	Htri 0.9253 (0.7290)	Acc 0.00 (0.11)	
Epoch: [1][110/590]	Time 0.246 (0.611)	Data 0.0003 (0.0111)	Xent 6.3108 (6.4085)	Htri 0.5723 (0.7195)	Acc 0.00 (0.11)	
Epoch: [1][120/590]	Time 0.246 (0.580)	Data 0.0001 (0.0102)	Xent 6.3672 (6.4037)	Htri 0.6371 (0.7052)	Acc 0.00 (0.13)	
Epoch: [1][130/590]	Time 0.246 (0.554)	Data 0.0003 (0.0094)	Xent 6.3467 (6.4001)	Htri 0.4998 (0.7031)	Acc 0.00 (0.22)	
Epoch: [1][140/590]	Time 0.245 (0.532)	Data 0.0003 (0.0088)	Xent 6.2210 (6.3942)	Htri 0.7022 (0.6899)	Acc 0.00 (0.23)	
Epoch: [1][150/590]	Time 0.244 (0.513)	Data 0.0002 (0.0082)	Xent 6.4046 (6.3910)	Htri 0.6052 (0.6928)	Acc 0.00 (0.23)	
Epoch: [1][160/590]	Time 0.248 (0.496)	Data 0.0004 (0.0077)	Xent 6.3356 (6.3885)	Htri 0.7015 (0.6838)	Acc 0.00 (0.25)	
Epoch: [1][170/590]	Time 0.248 (0.482)	Data 0.0004 (0.0073)	Xent 6.3324 (6.3850)	Htri 0.7260 (0.6858)	Acc 1.56 (0.29)	
Epoch: [1][180/590]	Time 0.244 (0.469)	Data 0.0002 (0.0069)	Xent 6.3309 (6.3810)	Htri 0.2653 (0.6830)	Acc 3.12 (0.36)	
Epoch: [1][190/590]	Time 0.246 (0.457)	Data 0.0003 (0.0065)	Xent 6.3298 (6.3781)	Htri 0.2143 (0.6734)	Acc 0.00 (0.40)	
Epoch: [1][200/590]	Time 0.246 (0.446)	Data 0.0004 (0.0062)	Xent 6.3467 (6.3744)	Htri 1.0753 (0.6637)	Acc 0.00 (0.43)	
Epoch: [1][210/590]	Time 0.246 (0.437)	Data 0.0003 (0.0060)	Xent 6.2690 (6.3711)	Htri 0.0888 (0.6578)	Acc 0.00 (0.46)	
Epoch: [1][220/590]	Time 0.247 (0.428)	Data 0.0002 (0.0057)	Xent 6.2944 (6.3681)	Htri 1.0552 (0.6516)	Acc 1.56 (0.49)	
Epoch: [1][230/590]	Time 0.249 (0.420)	Data 0.0040 (0.0055)	Xent 6.3373 (6.3656)	Htri 0.2733 (0.6442)	Acc 1.56 (0.52)	
Epoch: [1][240/590]	Time 0.246 (0.413)	Data 0.0002 (0.0053)	Xent 6.2391 (6.3611)	Htri 0.2909 (0.6410)	Acc 1.56 (0.55)	
Epoch: [1][250/590]	Time 0.246 (0.406)	Data 0.0003 (0.0051)	Xent 6.3174 (6.3578)	Htri 0.5349 (0.6360)	Acc 0.00 (0.59)	
Epoch: [1][260/590]	Time 0.246 (0.400)	Data 0.0003 (0.0049)	Xent 6.3194 (6.3557)	Htri 0.0000 (0.6251)	Acc 1.56 (0.62)	
Epoch: [1][270/590]	Time 0.247 (0.395)	Data 0.0002 (0.0047)	Xent 6.3090 (6.3532)	Htri 0.3206 (0.6147)	Acc 0.00 (0.65)	
Epoch: [1][280/590]	Time 0.245 (0.389)	Data 0.0002 (0.0046)	Xent 6.2495 (6.3503)	Htri 0.6087 (0.6123)	Acc 0.00 (0.66)	
Epoch: [1][290/590]	Time 0.248 (0.384)	Data 0.0004 (0.0044)	Xent 6.2740 (6.3485)	Htri 0.5240 (0.6125)	Acc 0.00 (0.66)	
Epoch: [1][300/590]	Time 0.245 (0.380)	Data 0.0002 (0.0043)	Xent 6.2573 (6.3459)	Htri 0.2251 (0.6095)	Acc 1.56 (0.68)	
Epoch: [1][310/590]	Time 0.246 (0.375)	Data 0.0002 (0.0041)	Xent 6.4026 (6.3429)	Htri 0.5504 (0.6061)	Acc 1.56 (0.71)	
Epoch: [1][320/590]	Time 0.244 (0.371)	Data 0.0002 (0.0040)	Xent 6.2415 (6.3409)	Htri 0.4587 (0.6025)	Acc 3.12 (0.72)	
Epoch: [1][330/590]	Time 0.246 (0.368)	Data 0.0004 (0.0039)	Xent 6.1923 (6.3384)	Htri 0.6097 (0.6016)	Acc 1.56 (0.73)	
Epoch: [1][340/590]	Time 0.248 (0.364)	Data 0.0003 (0.0038)	Xent 6.2673 (6.3357)	Htri 0.3656 (0.6018)	Acc 3.12 (0.74)	
Epoch: [1][350/590]	Time 0.244 (0.361)	Data 0.0003 (0.0037)	Xent 6.2721 (6.3339)	Htri 0.9090 (0.5994)	Acc 1.56 (0.75)	
Epoch: [1][360/590]	Time 0.245 (0.357)	Data 0.0002 (0.0036)	Xent 6.2869 (6.3315)	Htri 0.6510 (0.5969)	Acc 0.00 (0.76)	
Epoch: [1][370/590]	Time 0.246 (0.354)	Data 0.0003 (0.0035)	Xent 6.2466 (6.3288)	Htri 0.7510 (0.5942)	Acc 3.12 (0.77)	
Epoch: [1][380/590]	Time 0.247 (0.352)	Data 0.0005 (0.0034)	Xent 6.2784 (6.3268)	Htri 0.5079 (0.5905)	Acc 1.56 (0.80)	
Epoch: [1][390/590]	Time 0.246 (0.349)	Data 0.0003 (0.0033)	Xent 6.1242 (6.3251)	Htri 0.8823 (0.5862)	Acc 3.12 (0.81)	
Epoch: [1][400/590]	Time 0.249 (0.346)	Data 0.0003 (0.0033)	Xent 6.2222 (6.3229)	Htri 0.3840 (0.5845)	Acc 1.56 (0.82)	
Epoch: [1][410/590]	Time 0.250 (0.344)	Data 0.0002 (0.0032)	Xent 6.3455 (6.3212)	Htri 0.3849 (0.5800)	Acc 0.00 (0.82)	
Epoch: [1][420/590]	Time 0.248 (0.342)	Data 0.0002 (0.0031)	Xent 6.2158 (6.3196)	Htri 0.6548 (0.5789)	Acc 3.12 (0.84)	
Epoch: [1][430/590]	Time 0.246 (0.339)	Data 0.0003 (0.0031)	Xent 6.3552 (6.3173)	Htri 0.2263 (0.5766)	Acc 0.00 (0.89)	
Epoch: [1][440/590]	Time 0.254 (0.337)	Data 0.0002 (0.0030)	Xent 6.2267 (6.3156)	Htri 0.2367 (0.5732)	Acc 3.12 (0.91)	
Epoch: [1][450/590]	Time 0.245 (0.335)	Data 0.0004 (0.0029)	Xent 6.2827 (6.3142)	Htri 0.4052 (0.5692)	Acc 1.56 (0.91)	
Epoch: [1][460/590]	Time 0.246 (0.333)	Data 0.0002 (0.0029)	Xent 6.2250 (6.3125)	Htri 0.5177 (0.5684)	Acc 4.69 (0.92)	
Epoch: [1][470/590]	Time 0.246 (0.332)	Data 0.0002 (0.0028)	Xent 6.2691 (6.3116)	Htri 0.3217 (0.5647)	Acc 1.56 (0.92)	
Epoch: [1][480/590]	Time 0.246 (0.330)	Data 0.0002 (0.0028)	Xent 6.2743 (6.3097)	Htri 0.3063 (0.5619)	Acc 3.12 (0.94)	
Epoch: [1][490/590]	Time 0.245 (0.328)	Data 0.0003 (0.0027)	Xent 6.2671 (6.3089)	Htri 0.1419 (0.5596)	Acc 0.00 (0.95)	
Epoch: [1][500/590]	Time 0.246 (0.327)	Data 0.0002 (0.0027)	Xent 6.2596 (6.3068)	Htri 0.1297 (0.5570)	Acc 1.56 (0.97)	
Epoch: [1][510/590]	Time 0.246 (0.325)	Data 0.0003 (0.0026)	Xent 6.1503 (6.3051)	Htri 0.3975 (0.5546)	Acc 0.00 (0.99)	
Epoch: [1][520/590]	Time 0.244 (0.323)	Data 0.0003 (0.0026)	Xent 6.3513 (6.3041)	Htri 0.3102 (0.5509)	Acc 0.00 (1.00)	
Epoch: [1][530/590]	Time 0.245 (0.322)	Data 0.0002 (0.0025)	Xent 6.2670 (6.3027)	Htri 0.3468 (0.5470)	Acc 0.00 (1.00)	
Epoch: [1][540/590]	Time 0.245 (0.321)	Data 0.0004 (0.0025)	Xent 6.1757 (6.3005)	Htri 0.3626 (0.5455)	Acc 0.00 (1.01)	
Epoch: [1][550/590]	Time 0.247 (0.319)	Data 0.0002 (0.0024)	Xent 6.2214 (6.2994)	Htri 0.3696 (0.5419)	Acc 1.56 (1.01)	
Epoch: [1][560/590]	Time 0.246 (0.318)	Data 0.0003 (0.0024)	Xent 6.2681 (6.2976)	Htri 0.4218 (0.5411)	Acc 1.56 (1.04)	
Epoch: [1][570/590]	Time 0.246 (0.317)	Data 0.0002 (0.0024)	Xent 6.2176 (6.2961)	Htri 0.7819 (0.5406)	Acc 3.12 (1.04)	
Epoch: [1][580/590]	Time 0.245 (0.316)	Data 0.0001 (0.0023)	Xent 6.1785 (6.2949)	Htri 0.5190 (0.5380)	Acc 6.25 (1.05)	
Epoch: [1][590/590]	Time 0.244 (0.314)	Data 0.0001 (0.0023)	Xent 6.1722 (6.2934)	Htri 0.5352 (0.5345)	Acc 1.56 (1.05)	
Epoch: [2][10/590]	Time 0.245 (0.325)	Data 0.0004 (0.0803)	Xent 6.2193 (6.2286)	Htri 0.2737 (0.3829)	Acc 1.56 (1.09)	
Epoch: [2][20/590]	Time 0.244 (0.285)	Data 0.0002 (0.0402)	Xent 6.2287 (6.2174)	Htri 0.2986 (0.3914)	Acc 0.00 (1.64)	
Epoch: [2][30/590]	Time 0.246 (0.273)	Data 0.0004 (0.0269)	Xent 6.2465 (6.2196)	Htri 0.1832 (0.3635)	Acc 4.69 (1.61)	
