==========
Args:Namespace(adam_beta1=0.9, adam_beta2=0.999, arch='swinTransformer', color_aug=False, color_jitter=False, eval_freq=5, evaluate=False, gamma=0.1, gpu_devices='0', height=224, label_smooth=False, lambda_htri=1, lambda_xent=1, load_weights='', lr=0.0003, lr_scheduler='multi_step', margin=0.3, max_epoch=60, momentum=0.9, no_pretrained=True, num_instances=4, optim='sgd', print_freq=10, query_remove=True, random_erase=False, resume='/mnt/fast/nobackup/users/rs01960/AdvanceCV/VehicleReID/Logs/swinTransformer_60_sgd_0.0003', rmsprop_alpha=0.99, root='/mnt/fast/nobackup/users/rs01960/AdvanceCV', save_dir='/mnt/fast/nobackup/users/rs01960/AdvanceCV/VehicleReID/Logs/swinTransformer_60_sgd_0.0003', seed=1, sgd_dampening=0, sgd_nesterov=False, source_names=['veri'], split_id=0, start_epoch=0, start_eval=0, stepsize=[20, 40], target_names=['veri'], test_batch_size=100, test_size=800, train_batch_size=64, train_sampler='RandomSampler', use_avai_gpus=False, use_cpu=False, visualize_ranks=False, weight_decay=0.0005, width=224, workers=8)
==========
Value Of GPU :  True
Currently using GPU 0
Initializing image data manager
=> Initializing TRAIN (source) datasets
=> VeRi loaded
Image Dataset statistics:
  ----------------------------------------
  subset   | # ids | # images | # cameras
  ----------------------------------------
  train    |   576 |    37778 |        20
  query    |   200 |     1678 |        19
  gallery  |   200 |    11579 |        19
  ----------------------------------------
=> Initializing TEST (target) datasets
=> VeRi loaded
Image Dataset statistics:
  ----------------------------------------
  subset   | # ids | # images | # cameras
  ----------------------------------------
  train    |   576 |    37778 |        20
  query    |   200 |     1678 |        19
  gallery  |   200 |    11579 |        19
  ----------------------------------------


  **************** Summary ****************
  train names      : ['veri']
  # train datasets : 1
  # train ids      : 576
  # train images   : 37778
  # train cameras  : 20
  test names       : ['veri']
  *****************************************


Initializing model: swinTransformer
Model size: 27.962 M
=> Start training
Epoch: [1][10/590]	Time 0.261 (1.137)	Data 0.0002 (0.1060)	Xent 6.4831 (6.4189)	Htri 1.2364 (1.1129)	Acc 0.00 (0.31)	
Epoch: [1][20/590]	Time 0.244 (0.694)	Data 0.0002 (0.0532)	Xent 6.4737 (6.4199)	Htri 0.5583 (0.9073)	Acc 0.00 (0.16)	
Epoch: [1][30/590]	Time 0.262 (0.551)	Data 0.0002 (0.0356)	Xent 6.3806 (6.4088)	Htri 0.3715 (0.8292)	Acc 0.00 (0.26)	
Epoch: [1][40/590]	Time 0.266 (0.479)	Data 0.0002 (0.0267)	Xent 6.3177 (6.4014)	Htri 0.1671 (0.7579)	Acc 1.56 (0.35)	
Epoch: [1][50/590]	Time 0.247 (0.433)	Data 0.0005 (0.0215)	Xent 6.3779 (6.3849)	Htri 0.6010 (0.7253)	Acc 0.00 (0.41)	
Epoch: [1][60/590]	Time 0.245 (0.401)	Data 0.0004 (0.0179)	Xent 6.2995 (6.3700)	Htri 0.3608 (0.6745)	Acc 4.69 (0.57)	
Epoch: [1][70/590]	Time 0.267 (0.381)	Data 0.0036 (0.0155)	Xent 6.2709 (6.3613)	Htri 0.7649 (0.6469)	Acc 0.00 (0.62)	
Epoch: [1][80/590]	Time 0.258 (0.366)	Data 0.0004 (0.0136)	Xent 6.2281 (6.3517)	Htri 0.6022 (0.6189)	Acc 0.00 (0.64)	
Epoch: [1][90/590]	Time 0.273 (0.354)	Data 0.0005 (0.0121)	Xent 6.3507 (6.3436)	Htri 0.6216 (0.5991)	Acc 0.00 (0.76)	
Epoch: [1][100/590]	Time 0.262 (0.345)	Data 0.0004 (0.0109)	Xent 6.1551 (6.3334)	Htri 0.7706 (0.5856)	Acc 4.69 (0.86)	
Epoch: [1][110/590]	Time 0.255 (0.336)	Data 0.0003 (0.0100)	Xent 6.2343 (6.3254)	Htri 0.3815 (0.5742)	Acc 3.12 (0.92)	
Epoch: [1][120/590]	Time 0.263 (0.330)	Data 0.0007 (0.0092)	Xent 6.2050 (6.3150)	Htri 0.4452 (0.5596)	Acc 1.56 (1.00)	
