==========
Args:Namespace(adam_beta1=0.9, adam_beta2=0.999, arch='vgg16', color_aug=False, color_jitter=False, eval_freq=20, evaluate=False, gamma=0.1, gpu_devices='0', height=224, label_smooth=False, lambda_htri=1, lambda_xent=1, load_weights='', lr=0.0003, lr_scheduler='multi_step', margin=0.3, max_epoch=60, momentum=0.9, no_pretrained=True, num_instances=4, optim='adam', print_freq=10, query_remove=True, random_erase=False, resume='/mnt/fast/nobackup/users/rs01960/AdvanceCV/VehicleReID/Logs/vgg16_60_adam_0.0003', rmsprop_alpha=0.99, root='/mnt/fast/nobackup/users/rs01960/AdvanceCV', save_dir='/mnt/fast/nobackup/users/rs01960/AdvanceCV/VehicleReID/Logs/vgg16_60_adam_0.0003', seed=1, sgd_dampening=0, sgd_nesterov=False, source_names=['veri'], split_id=0, start_epoch=0, start_eval=0, stepsize=[20, 40], target_names=['veri'], test_batch_size=100, test_size=800, train_batch_size=64, train_sampler='RandomSampler', use_avai_gpus=False, use_cpu=False, visualize_ranks=False, weight_decay=0.0005, width=224, workers=8)
==========
Value Of GPU :  True
Currently using GPU 0
Initializing image data manager
=> Initializing TRAIN (source) datasets
=> VeRi loaded
Image Dataset statistics:
  ----------------------------------------
  subset   | # ids | # images | # cameras
  ----------------------------------------
  train    |   576 |    37778 |        20
  query    |   200 |     1678 |        19
  gallery  |   200 |    11579 |        19
  ----------------------------------------
=> Initializing TEST (target) datasets
=> VeRi loaded
Image Dataset statistics:
  ----------------------------------------
  subset   | # ids | # images | # cameras
  ----------------------------------------
  train    |   576 |    37778 |        20
  query    |   200 |     1678 |        19
  gallery  |   200 |    11579 |        19
  ----------------------------------------


  **************** Summary ****************
  train names      : ['veri']
  # train datasets : 1
  # train ids      : 576
  # train images   : 37778
  # train cameras  : 20
  test names       : ['veri']
  *****************************************


Initializing model: vgg16
Model size: 14.715 M
=> Start training
Epoch: [1][10/590]	Time 0.186 (2.824)	Data 0.0004 (0.0962)	Xent 6.3289 (6.3466)	Htri 0.0387 (0.1016)	Acc 0.00 (0.00)	
Epoch: [1][20/590]	Time 0.210 (1.509)	Data 0.0002 (0.0483)	Xent 6.2962 (6.3288)	Htri 0.0566 (0.0807)	Acc 1.56 (0.47)	
Epoch: [1][30/590]	Time 0.184 (1.069)	Data 0.0006 (0.0324)	Xent 6.2813 (6.3205)	Htri 0.0339 (0.0672)	Acc 0.00 (0.68)	
Epoch: [1][40/590]	Time 0.205 (0.851)	Data 0.0004 (0.0244)	Xent 6.1661 (6.3105)	Htri 0.2160 (0.0675)	Acc 0.00 (0.62)	
Epoch: [1][50/590]	Time 0.201 (0.721)	Data 0.0005 (0.0196)	Xent 6.2545 (6.3036)	Htri 0.0258 (0.0653)	Acc 0.00 (0.56)	
Epoch: [1][60/590]	Time 0.198 (0.634)	Data 0.0009 (0.0165)	Xent 6.2556 (6.2899)	Htri 0.0595 (0.0665)	Acc 1.56 (0.65)	
Epoch: [1][70/590]	Time 0.203 (0.571)	Data 0.0007 (0.0142)	Xent 6.2296 (6.2863)	Htri 0.0431 (0.0634)	Acc 1.56 (0.65)	
Epoch: [1][80/590]	Time 0.190 (0.524)	Data 0.0004 (0.0125)	Xent 6.1882 (6.2801)	Htri 0.0794 (0.0617)	Acc 1.56 (0.70)	
Epoch: [1][90/590]	Time 0.186 (0.487)	Data 0.0009 (0.0112)	Xent 6.2027 (6.2709)	Htri 0.1994 (0.0629)	Acc 1.56 (0.71)	
Epoch: [1][100/590]	Time 0.180 (0.459)	Data 0.0006 (0.0102)	Xent 6.1494 (6.2687)	Htri 0.0338 (0.0612)	Acc 1.56 (0.70)	
Epoch: [1][110/590]	Time 0.178 (0.439)	Data 0.0009 (0.0093)	Xent 6.2280 (6.2643)	Htri 0.0625 (0.0624)	Acc 3.12 (0.84)	
Epoch: [1][120/590]	Time 0.198 (0.418)	Data 0.0004 (0.0086)	Xent 6.3850 (6.2599)	Htri 0.0262 (0.0631)	Acc 0.00 (0.81)	
Epoch: [1][130/590]	Time 0.180 (0.399)	Data 0.0006 (0.0080)	Xent 6.4032 (6.2561)	Htri 0.0412 (0.0631)	Acc 0.00 (0.78)	
Epoch: [1][140/590]	Time 0.192 (0.384)	Data 0.0004 (0.0074)	Xent 6.0982 (6.2490)	Htri 0.0669 (0.0654)	Acc 3.12 (0.85)	
Epoch: [1][150/590]	Time 0.197 (0.371)	Data 0.0006 (0.0070)	Xent 5.8783 (6.2314)	Htri 0.0918 (0.0686)	Acc 1.56 (0.91)	
Epoch: [1][160/590]	Time 0.186 (0.360)	Data 0.0004 (0.0066)	Xent 6.0295 (6.2158)	Htri 0.1345 (0.0731)	Acc 1.56 (0.99)	
Epoch: [1][170/590]	Time 0.186 (0.352)	Data 0.0004 (0.0062)	Xent 6.0211 (6.2062)	Htri 0.0795 (0.0740)	Acc 1.56 (1.00)	
Epoch: [1][180/590]	Time 0.175 (0.345)	Data 0.0006 (0.0059)	Xent 6.0755 (6.1948)	Htri 0.1744 (0.0764)	Acc 1.56 (1.02)	
Epoch: [1][190/590]	Time 0.182 (0.337)	Data 0.0004 (0.0056)	Xent 5.7253 (6.1798)	Htri 0.1026 (0.0782)	Acc 3.12 (1.05)	
Epoch: [1][200/590]	Time 0.178 (0.330)	Data 0.0011 (0.0054)	Xent 5.8828 (6.1600)	Htri 0.0158 (0.0797)	Acc 1.56 (1.08)	
Epoch: [1][210/590]	Time 0.190 (0.323)	Data 0.0004 (0.0051)	Xent 5.8760 (6.1443)	Htri 0.0420 (0.0811)	Acc 1.56 (1.11)	
Epoch: [1][220/590]	Time 0.190 (0.317)	Data 0.0003 (0.0049)	Xent 5.8302 (6.1273)	Htri 0.0566 (0.0825)	Acc 1.56 (1.12)	
Epoch: [1][230/590]	Time 0.196 (0.312)	Data 0.0006 (0.0047)	Xent 6.0802 (6.1154)	Htri 0.1147 (0.0834)	Acc 0.00 (1.15)	
Epoch: [1][240/590]	Time 0.195 (0.307)	Data 0.0007 (0.0046)	Xent 5.7463 (6.1023)	Htri 0.0847 (0.0836)	Acc 1.56 (1.20)	
Epoch: [1][250/590]	Time 0.195 (0.303)	Data 0.0009 (0.0044)	Xent 5.6948 (6.0857)	Htri 0.0610 (0.0873)	Acc 3.12 (1.27)	
Epoch: [1][260/590]	Time 0.193 (0.299)	Data 0.0005 (0.0043)	Xent 6.0480 (6.0724)	Htri 0.1754 (0.0884)	Acc 0.00 (1.29)	
Epoch: [1][270/590]	Time 0.187 (0.297)	Data 0.0005 (0.0041)	Xent 5.7059 (6.0576)	Htri 0.1240 (0.0908)	Acc 6.25 (1.31)	
Epoch: [1][280/590]	Time 0.266 (0.295)	Data 0.0054 (0.0040)	Xent 5.8356 (6.0416)	Htri 0.1702 (0.0950)	Acc 1.56 (1.33)	
Epoch: [1][290/590]	Time 0.200 (0.291)	Data 0.0003 (0.0039)	Xent 5.7961 (6.0317)	Htri 0.2828 (0.0975)	Acc 1.56 (1.35)	
Epoch: [1][300/590]	Time 0.180 (0.288)	Data 0.0024 (0.0038)	Xent 5.7996 (6.0196)	Htri 0.0498 (0.0985)	Acc 1.56 (1.38)	
Epoch: [1][310/590]	Time 0.195 (0.285)	Data 0.0005 (0.0037)	Xent 5.4121 (6.0046)	Htri 0.2138 (0.1005)	Acc 7.81 (1.43)	
Epoch: [1][320/590]	Time 0.197 (0.282)	Data 0.0004 (0.0036)	Xent 5.6010 (5.9886)	Htri 0.1440 (0.1052)	Acc 1.56 (1.53)	
Epoch: [1][330/590]	Time 0.186 (0.279)	Data 0.0007 (0.0035)	Xent 5.6730 (5.9760)	Htri 0.1440 (0.1073)	Acc 1.56 (1.56)	
Epoch: [1][340/590]	Time 0.297 (0.277)	Data 0.0008 (0.0034)	Xent 5.3084 (5.9608)	Htri 0.2911 (0.1100)	Acc 6.25 (1.61)	
Epoch: [1][350/590]	Time 0.190 (0.275)	Data 0.0003 (0.0033)	Xent 5.3072 (5.9429)	Htri 0.1222 (0.1120)	Acc 10.94 (1.76)	
Epoch: [1][360/590]	Time 0.201 (0.273)	Data 0.0005 (0.0033)	Xent 5.4916 (5.9268)	Htri 0.0976 (0.1143)	Acc 3.12 (1.85)	
Epoch: [1][370/590]	Time 0.175 (0.270)	Data 0.0003 (0.0032)	Xent 5.5203 (5.9125)	Htri 0.1363 (0.1167)	Acc 0.00 (1.94)	
Epoch: [1][380/590]	Time 0.180 (0.268)	Data 0.0010 (0.0031)	Xent 5.2801 (5.8975)	Htri 0.1593 (0.1183)	Acc 6.25 (2.04)	
Epoch: [1][390/590]	Time 0.183 (0.267)	Data 0.0004 (0.0031)	Xent 5.3591 (5.8805)	Htri 0.1320 (0.1208)	Acc 1.56 (2.10)	
Epoch: [1][400/590]	Time 0.229 (0.265)	Data 0.0003 (0.0030)	Xent 5.1805 (5.8624)	Htri 0.1484 (0.1230)	Acc 6.25 (2.18)	
