==========
Args:Namespace(adam_beta1=0.9, adam_beta2=0.999, arch='vgg16', color_aug=False, color_jitter=False, eval_freq=5, evaluate=False, gamma=0.1, gpu_devices='0', height=224, label_smooth=False, lambda_htri=1, lambda_xent=1, load_weights='', lr=0.0003, lr_scheduler='multi_step', margin=0.3, max_epoch=60, momentum=0.9, no_pretrained=True, num_instances=4, optim='amsgrad', print_freq=10, query_remove=True, random_erase=False, resume='/mnt/fast/nobackup/users/rs01960/AdvanceCV/VehicleReID/Logs/vgg16_60_amsgrad_0.0003', rmsprop_alpha=0.99, root='/mnt/fast/nobackup/users/rs01960/AdvanceCV', save_dir='/mnt/fast/nobackup/users/rs01960/AdvanceCV/VehicleReID/Logs/vgg16_60_amsgrad_0.0003', seed=1, sgd_dampening=0, sgd_nesterov=False, source_names=['veri'], split_id=0, start_epoch=0, start_eval=0, stepsize=[20, 40], target_names=['veri'], test_batch_size=100, test_size=800, train_batch_size=64, train_sampler='RandomSampler', use_avai_gpus=False, use_cpu=False, visualize_ranks=False, weight_decay=0.0005, width=224, workers=8)
==========
Value Of GPU :  True
Currently using GPU 0
Initializing image data manager
=> Initializing TRAIN (source) datasets
=> VeRi loaded
Image Dataset statistics:
  ----------------------------------------
  subset   | # ids | # images | # cameras
  ----------------------------------------
  train    |   576 |    37778 |        20
  query    |   200 |     1678 |        19
  gallery  |   200 |    11579 |        19
  ----------------------------------------
=> Initializing TEST (target) datasets
=> VeRi loaded
Image Dataset statistics:
  ----------------------------------------
  subset   | # ids | # images | # cameras
  ----------------------------------------
  train    |   576 |    37778 |        20
  query    |   200 |     1678 |        19
  gallery  |   200 |    11579 |        19
  ----------------------------------------


  **************** Summary ****************
  train names      : ['veri']
  # train datasets : 1
  # train ids      : 576
  # train images   : 37778
  # train cameras  : 20
  test names       : ['veri']
  *****************************************


Initializing model: vgg16
Model size: 14.715 M
=> Start training
Epoch: [1][10/590]	Time 0.162 (1.244)	Data 0.0003 (0.0758)	Xent 6.3283 (6.3467)	Htri 0.0390 (0.1018)	Acc 0.00 (0.00)	
Epoch: [1][20/590]	Time 0.165 (0.704)	Data 0.0004 (0.0381)	Xent 6.2965 (6.3283)	Htri 0.0570 (0.0817)	Acc 1.56 (0.47)	
Epoch: [1][30/590]	Time 0.161 (0.524)	Data 0.0002 (0.0256)	Xent 6.2795 (6.3198)	Htri 0.0413 (0.0677)	Acc 0.00 (0.68)	
Epoch: [1][40/590]	Time 0.163 (0.434)	Data 0.0004 (0.0193)	Xent 6.1663 (6.3099)	Htri 0.1701 (0.0668)	Acc 0.00 (0.62)	
Epoch: [1][50/590]	Time 0.164 (0.380)	Data 0.0005 (0.0155)	Xent 6.2494 (6.3034)	Htri 0.0282 (0.0658)	Acc 0.00 (0.53)	
Epoch: [1][60/590]	Time 0.163 (0.344)	Data 0.0003 (0.0130)	Xent 6.2664 (6.2897)	Htri 0.0665 (0.0706)	Acc 1.56 (0.65)	
Epoch: [1][70/590]	Time 0.166 (0.318)	Data 0.0004 (0.0112)	Xent 6.1900 (6.2847)	Htri 0.0484 (0.0677)	Acc 1.56 (0.65)	
Epoch: [1][80/590]	Time 0.161 (0.298)	Data 0.0003 (0.0098)	Xent 6.1706 (6.2777)	Htri 0.1059 (0.0670)	Acc 1.56 (0.72)	
Epoch: [1][90/590]	Time 0.158 (0.283)	Data 0.0001 (0.0087)	Xent 6.1705 (6.2670)	Htri 0.3503 (0.0698)	Acc 1.56 (0.76)	
Epoch: [1][100/590]	Time 0.160 (0.271)	Data 0.0001 (0.0079)	Xent 6.1195 (6.2635)	Htri 0.0390 (0.0685)	Acc 1.56 (0.78)	
Epoch: [1][110/590]	Time 0.156 (0.260)	Data 0.0002 (0.0072)	Xent 6.1989 (6.2590)	Htri 0.0545 (0.0699)	Acc 3.12 (0.91)	
Epoch: [1][120/590]	Time 0.165 (0.252)	Data 0.0002 (0.0066)	Xent 6.4824 (6.2500)	Htri 0.0351 (0.0707)	Acc 0.00 (0.95)	
Epoch: [1][130/590]	Time 0.160 (0.245)	Data 0.0003 (0.0061)	Xent 6.3807 (6.2474)	Htri 0.0994 (0.0722)	Acc 0.00 (0.91)	
Epoch: [1][140/590]	Time 0.161 (0.239)	Data 0.0004 (0.0057)	Xent 6.1619 (6.2446)	Htri 0.0764 (0.0729)	Acc 3.12 (0.95)	
Epoch: [1][150/590]	Time 0.157 (0.234)	Data 0.0002 (0.0053)	Xent 5.9868 (6.2343)	Htri 0.0701 (0.0740)	Acc 1.56 (0.98)	
